time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-02T18:51:37.600Z,19.051,-155.364,33.54,2.76,ml,42,209,0.1393,0.12,hv,hv74159097,2024-04-07T18:19:23.040Z,"20 km SE of Pāhala, Hawaii",earthquake,0.5,0.75,0.0883746238205703,9,reviewed,hv,hv
2024-02-23T00:35:31.260Z,18.8463333333333,-155.21,10.78,3.27,ml,48,259,0.3891,0.13,hv,hv74119541,2024-02-24T14:31:16.655Z,"46 km ESE of Naalehu, Hawaii",earthquake,0.51,0.68,0.187883099631677,30,reviewed,hv,hv
2024-02-22T22:19:44.820Z,18.8406666666667,-155.201333333333,9.71,3.04,ml,48,260,0.3986,0.14,hv,hv74119431,2024-03-01T04:27:54.040Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.59,0.6,0.153373530548559,16,reviewed,hv,hv
2024-02-07T00:39:04.320Z,18.9933333333333,-155.307666666667,8.31,2.57,ml,40,271,0.2176,0.22,hv,hv74099171,2024-04-20T19:33:36.040Z,"29 km SE of Pāhala, Hawaii",earthquake,0.55,0.56,0.205284486972286,16,reviewed,hv,hv
2024-02-05T12:28:25.520Z,18.8658332824707,-155.206497192383,4.73000001907349,2.51999998,md,16,293,0.3761,0.150000006,hv,hv74096341,2024-04-20T19:33:01.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.9,1.25,0.189999998,3,automatic,hv,hv
2024-02-05T01:20:43.190Z,18.8741664886475,-155.203826904297,8.32999992370605,2.89,ml,25,262,0.3715,0.230000004,hv,hv74095366,2024-04-20T19:32:48.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.95,0.74000001,0.15,5,automatic,hv,hv
2024-01-13T08:38:50.160Z,18.836,-155.232833333333,10.04,2.54,ml,26,276,,0.14,hv,hv73715562,2024-03-16T18:59:19.040Z,"44 km SE of Naalehu, Hawaii",earthquake,0.7,0.74,0.164081200669348,17,reviewed,hv,hv
2023-12-15T03:51:02.430Z,19.043,-155.368833333333,33.7,2.99,ml,49,215,,0.11,hv,hv73686247,2024-02-17T22:43:10.040Z,"21 km SSE of Pāhala, Hawaii",earthquake,0.42,0.63,0.128470160751158,35,reviewed,hv,hv
2023-12-03T11:50:47.890Z,18.9266666666667,-155.276333333333,46.22,2.72,ml,51,243,,0.15,hv,hv73671892,2024-02-10T23:47:25.040Z,"Hawaii region, Hawaii",earthquake,0.67,0.86,0.179843829688288,19,reviewed,hv,hv
2023-11-13T17:49:54.060Z,19.047,-155.373,33.17,2.57,ml,55,208,,0.12,hv,hv73646897,2024-01-26T16:37:36.040Z,"20 km SSE of P?hala, Hawaii",earthquake,0.41,0.63,0.16974295437594,21,reviewed,hv,hv
2023-09-20T02:39:40.620Z,19.0483333333333,-155.385833333333,32.85,2.69,ml,53,206,,0.12,hv,hv73581337,2024-01-18T20:55:36.115Z,"19 km SSE of P?hala, Hawaii",earthquake,0.41,0.6,0.201582778064473,30,reviewed,hv,hv
2023-08-11T20:15:43.050Z,18.881,-155.1645,42.72,3.4,ml,59,255,,0.14,hv,hv73520172,2023-10-17T22:01:30.040Z,"48 km ESE of Naalehu, Hawaii",earthquake,0.57,0.98,0.164812202941755,39,reviewed,hv,hv
2023-06-25T17:17:43.090Z,18.7538333333333,-155.258166666667,8.2,2.75,ml,48,273,,0.12,hv,hv73461462,2024-01-18T20:21:13.511Z,"48 km SE of Naalehu, Hawaii",earthquake,0.67,0.91,0.155751100665581,10,reviewed,hv,hv
2023-06-23T04:45:02.730Z,18.7915,-155.2695,10.59,2.66,ml,51,267,,0.12,hv,hv73459322,2023-08-26T20:54:10.040Z,"44 km SE of Naalehu, Hawaii",earthquake,0.73,0.94,0.147220918679753,16,reviewed,hv,hv
2023-06-23T04:41:01.770Z,18.7726666666667,-155.267666666667,7.74,2.6,md,39,274,,0.18,hv,hv73459312,2023-08-26T20:54:10.040Z,"Hawaii region, Hawaii",earthquake,0.79,0.85,0.184433024587997,12,reviewed,hv,hv
2023-06-21T00:01:02.650Z,18.7226666666667,-155.248333333333,3.61,2.72,ml,39,283,,0.15,hv,hv73456842,2023-08-26T20:54:13.040Z,"51 km SE of Naalehu, Hawaii",earthquake,0.92,0.89,0.189292819404603,16,reviewed,hv,hv
2023-06-18T09:03:20.830Z,18.7298333333333,-155.248666666667,5.49,2.85,ml,51,276,,0.16,hv,hv73454547,2023-08-26T20:54:16.040Z,"51 km SE of Naalehu, Hawaii",earthquake,0.72,0.75,0.150131517631273,18,reviewed,hv,hv
2023-06-17T09:00:42.030Z,18.7751666666667,-155.265,7.34,2.55,ml,45,270,,0.17,hv,hv73453572,2023-08-21T04:19:18.040Z,"46 km SE of Naalehu, Hawaii",earthquake,0.56,0.61,0.0814055747470293,8,reviewed,hv,hv
2023-03-27T04:39:16.340Z,18.8155,-155.160333333333,7.79,4.12,ml,27,276,,0.14,hv,hv73350092,2023-06-03T22:06:26.040Z,"52 km ESE of Naalehu, Hawaii",earthquake,0.68,0.58,0.111735783636589,25,reviewed,hv,hv
2023-03-27T01:59:11.570Z,18.836,-155.180333333333,8.29,3.01,ml,42,281,,0.15,hv,hv73350032,2023-06-03T22:06:26.040Z,"49 km ESE of Naalehu, Hawaii",earthquake,0.54,0.45,0.173218504628673,26,reviewed,hv,hv
2023-03-26T20:36:29.040Z,18.8741666666667,-155.1915,9.94,3.17,ml,42,260,,0.13,hv,hv73349872,2023-06-03T22:06:25.040Z,"46 km ESE of Naalehu, Hawaii",earthquake,0.55,0.42,0.141593344111788,28,reviewed,hv,hv
2022-12-15T21:40:44.030Z,19.0285,-155.3525,32.5,2.72,ml,53,215,,0.13,hv,hv73270882,2024-01-12T23:00:40.470Z,"23 km SE of Pāhala, Hawaii",earthquake,0.47,0.86,0.152132673049855,27,reviewed,hv,hv
2022-09-27T03:39:33.450Z,19.0463333333333,-155.386,34.63,2.71,ml,49,210,,0.12,hv,hv73155042,2022-12-03T22:02:26.040Z,"Island of Hawaii, Hawaii",earthquake,0.48,0.82,0.135370352191466,28,reviewed,hv,hv
2022-09-14T10:49:41.470Z,18.8773333333333,-155.227166666667,10.2,3.17,ml,50,258,,0.14,hv,hv73139602,2022-11-19T23:03:10.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.47,0.28,0.174068358678091,34,reviewed,hv,hv
2022-08-23T00:55:53.350Z,18.8871666666667,-155.2355,6.36,2.5,md,28,256,,0.17,hv,hv73118102,2022-11-01T15:12:55.040Z,"Hawaii region, Hawaii",earthquake,0.52,0.81,0.17551025190052,13,reviewed,hv,hv
2022-08-17T17:40:19.880Z,18.8465,-155.235166666667,8.74,2.54,md,19,265,,0.11,hv,hv73112497,2022-08-17T21:17:03.690Z,"43 km SE of Naalehu, Hawaii",earthquake,0.71,0.69,0.269965238258107,7,reviewed,hv,hv
2022-07-30T14:05:31.880Z,18.8823333333333,-155.157833333333,6.14,2.65,md,25,293,,0.14,hv,hv73092492,2022-10-12T14:49:42.040Z,"48 km ESE of Naalehu, Hawaii",earthquake,0.46,0.4,0.212903493025149,8,reviewed,hv,hv
2022-07-28T18:32:25.650Z,18.8783333333333,-155.231666666667,9.66,2.72,md,42,260,,0.13,hv,hv73090737,2022-10-01T22:09:27.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.49,0.3,0.135142569352583,16,reviewed,hv,hv
2022-07-27T07:41:47.900Z,18.8465,-155.2155,9.76,3.42,ml,51,264,,0.13,hv,hv73089282,2022-10-01T22:09:22.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.54,0.55,0.147470528477751,41,reviewed,hv,hv
2022-07-27T07:27:27.630Z,18.8441666666667,-155.211833333333,9.07,3.03,ml,48,264,,0.14,hv,hv73089262,2022-10-01T22:09:22.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.5,0.45,0.160066167523473,31,reviewed,hv,hv
