Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,0.144669,41.6004,1.194244,40.54873,0.067994,-0.060441,0,0.009881,0.580602,0.097491,0.243278,14.50974,
0.323529411764705,0.214479,40.91496,1.69822,41.43523,0.053362,0.047433,0,0.042589,0.809045,0.172889,0.191703,14.37282,
0.647058823529409,0.394634,39.78557,2.568202,42.76553,0.111621,0.062244,0,0.071096,1.205021,0.274616,0.186172,14.68213,
0.970588235294121,0.846897,30.39874,5.803614,44.08998,0.071138,0.00625,0,0.162296,2.352448,0.423021,0.238874,13.64604,
1.29411764705883,1.24937,24.51062,7.84941,44.74298,0.173901,0.186192,0,0.233294,3.711376,0.668651,0.259015,12.6948,
1.61764705882353,1.512327,21.10785,9.143758,45.2117,0.183003,0.144972,0,0.249671,4.653422,0.899403,0.173785,12.19288,
1.94117647058823,1.750612,18.38791,9.798344,45.52911,0.172095,0.203802,0,0.270028,5.550658,1.064255,0.170513,11.84002,
2.26470588235294,1.760966,16.46075,10.46375,45.96824,0.146331,0.205578,0,0.334627,6.311961,1.146884,0.183139,11.515,
2.58823529411764,1.869221,14.6936,10.94678,46.36618,0.101268,0.279896,0,0.340034,7.040478,1.237012,0.204553,11.15728,
2.91176470588236,2.023658,13.39124,11.33111,46.80531,0.124006,0.325139,0,0.381835,7.668604,1.371384,0.16683,10.98696,
3.23529411764706,1.983145,12.03227,11.69693,46.91373,0.073526,0.310852,0,0.345095,8.146774,1.534112,0.154968,10.82351,
3.55882352941176,2.093327,11.05007,12.02013,47.10976,0.262133,0.305422,0,0.433598,8.693594,1.449979,0.214569,10.62387,
3.88235294117647,1.963118,10.13666,12.24514,47.20232,0.229286,0.32752,0,0.428553,9.097483,1.619224,0.157706,10.49029,
4.20588235294117,1.950363,9.595625,12.37427,47.38565,0.1903,0.342438,0,0.440193,9.584234,1.688385,0.192539,10.5088,
4.52941176470588,1.985514,9.026274,12.64415,47.64049,0.223673,0.418533,0,0.458188,9.942806,1.62841,0.223263,10.10566,
4.85294117647059,2.107703,8.466969,12.81964,47.89441,0.269838,0.408307,0,0.474003,10.26803,1.777871,0.223688,10.20296,
5.1764705882353,2.256322,7.999982,12.90692,48.01237,0.333633,0.405948,0,0.457811,10.53698,1.817402,0.205006,10.27057,
5.5,2.163532,7.804195,12.98519,48.0774,0.204676,0.346129,0,0.465342,11.00169,1.853634,0.107472,10.17717,
5.8235294117647,2.073679,7.480069,13.18114,48.30357,0.186967,0.345736,0,0.422454,11.15625,1.874875,0.142808,10.04218,
6.14705882352941,2.122469,7.153708,13.2229,48.50678,0.231897,0.385549,0,0.490266,11.40617,1.948045,0.123639,9.948991,
6.47058823529411,2.144203,7.012103,13.60252,48.65612,0.222638,0.410606,0,0.469888,11.5623,1.965887,0.163752,9.923708,
6.79411764705882,2.014901,6.800065,13.21534,47.99789,0.072803,0.390696,0,0.477697,11.63424,1.986398,0.198039,10.02386,
7.11764705882353,2.189677,6.819883,13.33317,48.55164,0.17625,0.294378,0,0.422374,11.89943,1.991032,0.241881,9.876964,
7.44117647058823,2.156103,6.738635,13.63094,48.10851,0.197795,0.421274,0,0.463496,12.07588,1.970352,0.196646,9.975845,
7.76470588235294,2.157939,6.629662,13.52568,48.59515,0.241813,0.397316,0,0.492399,12.03067,2.154892,0.174161,10.05135,
8.08823529411765,2.142695,6.633907,13.55275,48.46169,0.176693,0.377274,0,0.518022,12.19398,2.033873,0.146951,9.962133,
8.41176470588235,2.161453,6.683957,13.43075,48.50779,0.265123,0.437076,0,0.483436,12.19755,2.000227,0.156861,10.12769,
8.73529411764706,2.079445,6.626034,13.67016,48.46303,0.254726,0.464767,0,0.517177,12.34104,2.032332,0.082894,10.14225,
9.05882352941176,2.156407,6.598797,13.44726,48.69879,0.200854,0.246229,0,0.473187,12.41592,2.068302,0.183142,10.0132,
9.38235294117647,2.076759,6.559576,13.47856,48.6251,0.140665,0.449546,0,0.413488,12.47997,2.035329,0.167526,9.895754,
9.70588235294118,2.122539,6.566473,13.57653,48.73895,0.280048,0.344052,0,0.493925,12.53488,2.072968,0.120782,10.05955,
10.0294117647059,2.098666,6.565187,13.59176,48.57084,0.134189,0.414678,0,0.487463,12.51433,1.985234,0.16783,10.16758,
10.3529411764706,1.979088,6.536052,13.5859,48.37955,0.253842,0.396209,0,0.463643,12.6156,2.087179,0.157373,9.950068,
10.6764705882353,1.954477,6.512966,13.46342,48.40669,0.242483,0.459971,0,0.473083,12.51549,2.113949,0.153459,9.996826,
11,1.896111,6.68604,13.41957,48.59614,0.192967,0.377902,0,0.469387,12.45674,2.085253,0.164924,9.912358,
11.3235294117647,1.858059,6.618647,13.51155,48.87425,0.228063,0.427465,0,0.45306,12.63693,2.132927,0.183944,10.20468,
11.6470588235294,1.7972,6.531391,13.61136,48.47073,0.300585,0.440724,0,0.476557,12.69725,2.078769,0.080656,10.05152,
11.9705882352941,1.824947,6.53504,13.57993,48.43695,0.304956,0.457943,0,0.48367,12.48814,1.958651,0.125577,9.950149,
12.2941176470588,1.833187,6.525882,13.29638,48.52136,0.19455,0.456941,0,0.464191,12.6262,2.061755,0.168222,10.08091,
12.6176470588235,1.881879,6.502935,13.42683,48.47285,0.230474,0.409204,0,0.453914,12.66641,2.072922,0.136571,10.00767,
12.9411764705882,1.975683,6.441954,13.46587,48.54791,0.287349,0.351877,0,0.443566,12.6924,1.985543,0.193544,9.941242,
13.2647058823529,2.050958,6.470317,13.47015,48.34358,0.229659,0.329876,0,0.454757,12.53612,2.084801,0.137495,9.990935,
13.5882352941176,2.045066,6.4529,13.38283,48.4692,0.315425,0.418869,0,0.441148,12.55478,2.019698,0.189015,10.09441,
13.9117647058824,2.107203,6.332413,13.42644,48.15908,0.222234,0.498247,0,0.463309,12.54948,2.036859,0.183996,10.12798,
14.2352941176471,2.038601,6.382764,13.3609,48.47372,0.145401,0.31307,0,0.450843,12.63861,2.046837,0.141764,9.928542,
14.5588235294118,2.03547,6.330686,13.29266,47.92766,0.176445,0.428255,0,0.447393,12.57276,2.022457,0.119551,10.02415,
14.8823529411765,2.041544,6.290678,13.40854,48.06169,0.199394,0.359826,0,0.469853,12.48863,2.069976,0.151517,9.884631,
15.2058823529412,1.998217,6.273004,13.22505,47.80031,0.350965,0.421977,0,0.448465,12.65666,2.033052,0.191094,9.970913,
15.5294117647059,2.057325,6.156944,13.20238,47.6054,0.257276,0.410629,0,0.456473,12.64513,2.052359,0.168594,10.04587,
15.8529411764706,2.011785,6.151214,13.02001,47.33337,0.182575,0.366557,0,0.420076,12.54274,2.06726,0.234956,9.891208,
16.1764705882353,2.041162,6.192231,12.99667,46.90065,0.174301,0.481914,0,0.401292,12.44252,2.029408,0.182401,9.948921,
16.5,2.069784,6.280934,12.77009,46.1188,0.152907,0.393801,0,0.424479,12.17502,2.080774,0.180536,9.832558,
16.8235294117647,2.007247,6.476352,12.43329,45.58882,0.160334,0.492401,0,0.469668,11.91217,2.016501,0.159506,9.72838,
17.1470588235294,2.04295,7.076415,11.97126,44.63971,0.129006,0.358448,0,0.432058,11.63455,2.044392,0.20855,9.811161,
17.4705882352941,1.88809,8.104466,11.52095,43.73197,0.140513,0.353119,0,0.46586,10.98727,1.925621,0.163669,9.946856,
17.7941176470588,1.902308,9.521773,10.96954,42.94689,0.184054,0.339182,0,0.43907,10.24494,1.846863,0.162639,10.2466,
18.1176470588235,1.807156,11.54159,10.06933,41.73302,0.166199,0.249563,0,0.412867,9.08906,1.631109,0.188318,10.30171,
18.4411764705882,1.638528,14.80156,8.934574,40.37579,0.113861,0.24581,0,0.423557,7.319754,1.41259,0.247583,10.94476,
18.7647058823529,1.086761,24.26986,6.646257,40.21865,0.094026,0.17711,0,0.268184,4.248482,0.823031,0.188048,12.92841,
