Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,1.960028,8.340883,11.97821,47.86,0.262819,0.464727,0,0.59598,12.52109,2.991822,0.166417,11.34519,
0.499999999999998,1.997709,8.360583,11.87535,47.66221,0.350129,0.396686,0,0.567802,12.45079,3.08864,0.228415,11.15798,
0.999999999999996,1.894195,8.474298,11.91856,47.77599,0.314173,0.399532,0,0.554453,12.36015,3.009955,0.210059,11.44519,
1.50000000000001,1.878689,8.433699,11.8101,47.40496,0.242801,0.525591,0,0.560871,12.46771,2.961933,0.132996,11.25721,
2,1.904503,8.640693,11.71758,47.90935,0.183893,0.414489,0,0.536679,12.51913,2.96386,0.225587,11.31576,
2.5,1.89899,8.710304,11.73505,47.18963,0.311584,0.401145,0,0.552956,12.28638,2.993907,0.261462,11.1759,
3,1.872105,8.597339,12.01896,47.17777,0.322867,0.46367,0,0.521306,12.26749,2.880647,0.263644,11.31697,
3.5,1.870032,8.658273,11.53202,47.20143,0.223052,0.288425,0,0.56693,12.27455,2.938571,0.189397,11.30754,
4,1.78484,8.51836,11.48331,46.16222,0.356937,0.43632,0,0.533944,12.20807,2.937433,0.220011,11.45669,
4.50000000000001,1.911794,8.340954,11.07646,45.23059,0.19823,0.30541,0,0.493035,12.21578,2.922398,0.200013,11.20311,
5,1.653176,8.257089,10.88177,44.00273,0.332944,0.387455,0,0.559775,12.2491,2.988997,0.273856,11.08872,
5.5,1.263903,7.581445,10.44954,41.80861,0.230623,0.417157,0,0.570502,12.077,2.928595,0.329634,11.19073,
6,0.956777,8.871439,10.86508,34.74873,0.257563,0.285006,0,0.485434,10.44234,3.064506,0.796257,13.92427,
6.5,0.712353,9.461947,11.56768,28.21308,0.131535,0.257902,0,0.420509,8.402748,2.983145,1.290938,15.82945,
6.99999999999999,0.519603,10.12448,12.28687,22.78161,0.110274,0.138775,0,0.349166,6.887522,2.753088,1.72348,17.63529,
7.50000000000001,0.343427,10.64473,12.28049,18.35164,0.062926,0.229052,0,0.267188,5.666357,2.82754,2.135681,18.65367,
8,0.320953,10.68987,12.62529,14.5255,0.191012,0.09142,0,0.262168,4.802774,2.773404,2.252542,19.53284,
8.5,0.220899,10.97374,12.87266,11.29249,0.075609,0.100315,0,0.166108,3.804593,2.717961,2.430936,20.69386,
9,0.104733,11.27796,12.93497,8.586885,0.057393,0.092627,0,0.106869,3.096435,2.614629,2.722159,21.4495,
9.49999999999999,0.080323,11.42081,13.26806,6.413781,0.053602,0.027035,0,0.144704,2.474024,2.545282,2.928643,21.58659,
9.99999999999999,0.017319,11.39055,13.26088,4.959309,0.022174,0.024045,0,0.090932,1.96776,2.560649,3.014409,22.13807,
10.5,0.021052,11.58358,13.52771,3.456622,0.110284,0.071194,0,0.092731,1.561222,2.624132,3.091727,22.62942,
11,0.005888,11.6508,13.48913,2.622053,-0.035644,0.056492,0,0.063728,1.245215,2.628395,3.281074,22.6188,
