Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,1.999942,6.559573,14.65578,49.48906,0.351176,0.519299,0,0.554149,12.57992,2.511457,0.123085,9.624561,
0.289473684210525,1.934554,5.855502,14.5495,49.09232,0.367575,0.631115,0,0.495859,12.88155,2.628059,0.167182,9.730285,
0.57894736842105,1.966609,5.391346,14.66694,49.41346,0.275186,0.577336,0,0.551248,13.26578,2.597354,0.096855,9.922873,
0.868421052631582,2.099216,5.096466,14.30668,48.9952,0.334009,0.620224,0,0.508151,13.40162,2.541461,0.215705,9.956935,
1.15789473684211,1.910653,5.177725,14.41632,48.89575,0.320776,0.604856,0,0.518027,13.41228,2.533204,0.107645,10.13416,
1.44736842105263,2.000145,5.019239,14.41728,48.4508,0.281893,1.094555,0,0.476288,13.33252,2.597973,0.222591,10.68534,
1.73684210526316,1.797302,5.180712,14.16942,48.62873,0.216874,0.660882,0,0.430949,13.5132,2.67476,0.165951,10.34891,
2.02631578947368,1.890896,5.238595,14.11048,48.82951,0.257678,0.681728,0,0.463367,13.45366,2.536135,0.172322,10.56323,
2.31578947368421,1.904463,5.263788,13.99211,48.5033,0.3006,0.659952,0,0.426529,13.58511,2.552993,0.186758,10.54302,
2.60526315789474,1.844861,5.301875,14.03069,48.41734,0.379943,0.615703,0,0.401692,13.52587,2.587849,0.225106,10.52005,
2.89473684210527,1.947404,5.295092,13.98291,48.3529,0.297845,0.587563,0,0.458048,13.51826,2.572017,0.273101,10.716,
3.18421052631579,1.910568,5.564616,13.75363,48.25966,0.334941,0.684886,0,0.363141,13.41156,2.468382,0.157767,10.81996,
3.47368421052632,1.944208,5.516021,13.95023,48.35695,0.307187,0.722361,0,0.427688,13.50832,2.439206,0.219386,10.79238,
3.76315789473684,1.995411,5.519427,13.6327,48.0383,0.379173,0.579581,0,0.400363,13.37696,2.483565,0.179177,10.90529,
4.05263157894736,2.033344,5.569568,13.57823,48.30831,0.272002,0.576305,0,0.43931,13.402,2.534446,0.24058,10.9066,
4.3421052631579,1.910899,5.537378,13.57272,48.15287,0.251501,0.635329,0,0.399644,13.24674,2.570725,0.171284,10.97731,
4.63157894736842,1.913254,5.708527,13.58724,48.2126,0.281272,0.670528,0,0.446999,13.39632,2.447682,0.158697,11.15806,
4.92105263157895,1.851099,5.798033,13.48811,48.25057,0.281884,0.624248,0,0.466483,13.59692,2.442796,0.173723,10.97136,
5.21052631578947,1.500807,6.051811,13.57829,48.36596,0.328925,0.638493,0,0.476173,14.05406,2.495058,0.269065,11.04541,
5.5,1.265705,6.085358,13.45757,48.17312,0.322174,0.557304,0,0.433852,14.11263,2.405415,0.199738,11.01277,
5.78947368421052,1.186371,5.73411,13.49749,47.65648,0.363221,0.655765,0,0.564987,13.27395,2.442533,0.205293,11.11676,
6.07894736842105,1.136937,6.572417,13.72168,48.18622,0.241224,0.643588,0,0.492997,14.02729,2.385337,0.272125,11.27451,
6.36842105263158,1.076729,5.967383,13.27402,47.58415,0.224846,0.662248,0,0.493439,13.87295,2.513509,0.121812,10.77995,
6.6578947368421,1.121333,6.864431,13.86181,48.26078,0.24583,0.54127,0,0.538642,14.58015,2.464216,0.1843,11.3265,
6.94736842105263,1.04983,6.423056,13.66016,47.991,0.206027,0.598685,0,0.529401,14.03978,2.45578,0.224951,11.05772,
7.23684210526316,0.93892,6.276067,13.4205,48.49359,0.291903,0.656451,0,0.484502,13.89567,2.316162,0.195119,10.72677,
7.52631578947369,0.984427,6.118307,13.2369,47.6664,0.274299,0.708192,0,0.518529,13.85485,2.481047,0.169448,10.94524,
7.81578947368421,0.913134,5.414189,12.94728,46.47758,0.385769,0.673078,0,0.536878,13.28915,2.385345,0.239214,10.63307,
