Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,0.145354,41.8914,1.209351,40.52976,0.066956,-0.059573,0,0.009867,0.587563,0.098635,0.245277,14.51048,
0.323529411764705,0.214768,41.20281,1.717821,41.41574,0.053178,0.046476,0,0.042737,0.818557,0.174085,0.194266,14.37366,
0.647058823529409,0.398592,40.06635,2.598699,42.7467,0.111068,0.061379,0,0.071345,1.218805,0.276534,0.187691,14.68275,
0.970588235294121,0.853634,30.61689,5.868627,44.07161,0.070739,0.006572,0,0.16315,2.379984,0.425959,0.240823,13.6466,
1.29411764705883,1.25916,24.68826,7.936425,44.72413,0.172515,0.186047,0,0.234088,3.754405,0.673305,0.26113,12.69531,
1.61764705882353,1.524042,21.2618,9.244797,45.19243,0.182261,0.144932,0,0.250154,4.707826,0.905704,0.175204,12.1934,
1.94117647058823,1.764213,18.52336,9.905483,45.51059,0.170151,0.203571,0,0.270932,5.615063,1.071149,0.17187,11.84032,
2.26470588235294,1.77503,16.58274,10.57846,45.94778,0.145775,0.205517,0,0.335726,6.385205,1.154485,0.184636,11.51547,
2.58823529411764,1.884313,14.80283,11.06556,46.34599,0.101157,0.280043,0,0.34117,7.122404,1.245612,0.206055,11.1578,
2.91176470588236,2.039354,13.49156,11.45511,46.78464,0.122931,0.325489,0,0.383196,7.757823,1.380184,0.168948,10.98771,
3.23529411764706,1.99868,12.12233,11.82301,46.89275,0.073567,0.311038,0,0.346389,8.241185,1.545177,0.156236,10.82405,
3.55882352941176,2.111742,11.13312,12.15087,47.09007,0.260888,0.305684,0,0.435043,8.794422,1.460309,0.215873,10.6244,
3.88235294117647,1.979186,10.21329,12.37748,47.18158,0.228731,0.327366,0,0.429984,9.203188,1.63073,0.159147,10.49091,
4.20588235294117,1.967114,9.668134,12.50754,47.36333,0.190657,0.341971,0,0.441763,9.695446,1.70007,0.194097,10.51034,
4.52941176470588,2.00148,9.09496,12.78002,47.61915,0.222787,0.418162,0,0.459664,10.05823,1.639508,0.225091,10.10617,
4.85294117647059,2.12504,8.531409,12.95728,47.87116,0.269178,0.408676,0,0.4752,10.3873,1.791253,0.225519,10.20328,
5.1764705882353,2.275108,8.060017,13.04613,47.9898,0.32981,0.406072,0,0.459225,10.65927,1.830373,0.206549,10.27086,
5.5,2.182409,7.863664,13.1248,48.05445,0.202795,0.346152,0,0.466702,11.12955,1.866833,0.108199,10.17803,
5.8235294117647,2.090909,7.537246,13.32208,48.27922,0.186846,0.346206,0,0.423372,11.28551,1.888264,0.143655,10.04273,
6.14705882352941,2.140012,7.208335,13.36419,48.4831,0.231762,0.385369,0,0.491958,11.53831,1.962498,0.124262,9.949546,
6.47058823529411,2.162039,7.065572,13.74706,48.63361,0.221673,0.410605,0,0.471446,11.69608,1.979917,0.165093,9.924087,
6.79411764705882,2.031415,6.852197,13.35758,47.97327,0.07205,0.390968,0,0.479148,11.7688,2.000673,0.200569,10.02448,
