Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,2.902317,4.415138,14.71342,51.81582,0.202634,0.322052,0,0.690605,12.16146,3.194033,0.126092,7.837564,
0.249999999999999,2.860659,4.550291,14.43697,51.94503,0.311918,0.35425,0,0.637851,12.32689,3.156282,0.219321,7.938105,
0.499999999999998,2.902673,4.554255,14.25194,51.61753,0.31408,0.343097,0,0.707705,12.15363,3.178005,0.116524,7.918007,
0.750000000000003,2.84302,4.638034,14.29793,51.67387,0.269403,0.339181,0,0.612505,12.18725,3.17439,0.151995,8.00532,
1,2.785359,4.699655,14.16949,51.12447,0.336973,0.282539,0,0.570367,12.22326,3.143864,0.130676,8.025364,
1.25,2.827206,4.902216,14.27691,51.97495,0.342701,0.301129,0,0.646051,12.32039,3.082254,0.124071,8.121961,
1.5,2.816152,4.856258,14.18116,51.70497,0.302726,0.31086,0,0.668678,12.20194,3.02455,0.161813,8.182964,
1.75,2.864763,4.903741,14.16434,51.47891,0.236027,0.417121,0,0.645651,12.25676,3.132235,0.195999,8.089163,
2,2.804582,4.94909,14.30149,51.38142,0.296885,0.367278,0,0.637156,12.35466,3.07645,0.141677,8.107276,
2.25,2.774482,5.019188,14.28288,51.75231,0.341706,0.385108,0,0.599271,12.43057,3.189648,0.106866,8.204247,
2.5,2.758784,4.965257,14.39792,51.59358,0.415771,0.292422,0,0.660132,12.44384,3.099497,0.130646,8.068666,
2.75,2.755923,5.227495,14.25218,51.73869,0.381832,0.397447,0,0.580238,12.44417,3.167038,0.118959,8.148746,
3,2.689741,5.075858,14.2454,51.72808,0.214854,0.319315,0,0.663589,12.37498,3.165797,0.238779,8.414196,
3.25,2.679574,5.057899,14.22655,51.59622,0.333776,0.367596,0,0.61656,12.53765,3.03875,0.114431,8.223614,
3.5,2.657596,5.148359,14.3572,51.31028,0.392993,0.342531,0,0.59132,12.44247,3.17078,0.095648,8.286019,
3.75,2.589484,5.164858,14.10783,51.35447,0.299025,0.332613,0,0.62512,12.56168,3.043282,0.109916,8.315452,
4,2.450061,5.334988,14.12229,51.73646,0.250357,0.334116,0,0.656144,12.48563,3.151415,0.134884,8.442913,
4.25,2.187278,5.201923,13.96017,51.36565,0.318232,0.412625,0,0.615044,12.6112,3.037834,0.104597,8.451943,
4.5,1.856637,5.221225,14.08885,51.35011,0.25757,0.352692,0,0.596116,12.47489,3.113217,0.111756,8.433346,
4.75,1.643488,5.250665,14.0886,51.66187,0.327359,0.335181,0,0.629517,12.67921,3.002963,0.116275,8.589526,
5,1.335382,5.37226,14.18569,51.96994,0.275639,0.390918,0,0.550656,12.81185,3.007528,0.091966,8.622481,
5.25,1.115009,5.407499,14.38512,51.90065,0.361236,0.383005,0,0.57599,12.82548,3.108002,0.133715,8.756505,
5.5,0.989661,5.670136,14.32859,52.61673,0.308106,0.367414,0,0.627655,12.98019,3.153212,0.111436,8.83427,
5.75,0.756068,5.553239,14.45494,53.0409,0.256601,0.304275,0,0.590032,12.95056,3.07695,0.185896,8.63665,
6,0.638394,5.653086,14.46168,53.06659,0.249259,0.394935,0,0.588404,12.97858,2.986857,0.200451,8.767653,
6.25,0.454095,5.599908,14.50269,53.00648,0.353362,0.333742,0,0.621807,12.87968,2.989574,0.224426,8.629968,
6.5,0.429648,5.676202,14.72805,53.35709,0.282754,0.354995,0,0.57612,12.92494,3.056941,0.119661,8.846478,
6.75,0.389445,5.712051,14.96379,53.48583,0.398851,0.399105,0,0.595062,12.92462,3.166684,0.270181,8.783009,
7,0.333963,5.700967,14.55826,53.09786,0.299998,0.478612,0,0.550325,12.88988,3.153928,0.187053,8.776662,
7.25,0.247286,5.595384,14.54649,52.716,0.353741,0.387221,0,0.527865,12.80545,3.114812,0.138168,8.833655,
7.5,0.238585,5.585236,14.25705,52.54912,0.394383,0.318106,0,0.591351,12.79559,3.105391,0.115295,8.791703,
7.75,0.248078,5.537023,14.39482,52.55786,0.271458,0.355052,0,0.558104,12.95116,3.172686,0.101195,8.782928,
8,0.308608,5.614133,14.52864,52.80442,0.335936,0.356677,0,0.571262,12.90369,3.193645,0.177467,8.722964,
8.25,0.302745,5.615596,14.38206,53.04689,0.325539,0.367298,0,0.628791,13.09293,3.04696,0.131236,8.83055,
8.5,0.490708,5.733717,14.60796,52.9948,0.257102,0.32714,0,0.566437,13.09532,3.159932,0.111747,8.887838,
8.75,0.65584,5.792096,14.5516,53.37421,0.29863,0.351103,0,0.567013,13.03391,3.219549,0.195641,8.821594,
9,0.755145,5.65395,14.66585,52.79869,0.306343,0.452179,0,0.59271,13.0099,3.035087,0.215457,8.669436,
9.25,0.924985,5.669591,14.4101,52.28165,0.305425,0.349943,0,0.568924,12.82235,3.055139,0.154115,8.865801,
9.5,1.182815,5.498208,14.32948,52.20369,0.321905,0.389247,0,0.587982,12.86002,3.118104,0.187638,8.80442,
9.75,1.229258,5.551462,14.13179,51.35499,0.353754,0.36161,0,0.619503,12.83525,3.13752,0.199645,8.590533,
10,1.553901,5.444356,14.14746,51.28022,0.220552,0.419215,0,0.60252,12.767,3.027627,0.169732,8.631484,
10.25,1.831008,5.467803,13.86503,51.2637,0.372119,0.403054,0,0.611383,12.66153,3.01715,0.174154,8.487223,
10.5,2.057294,5.429739,13.97389,51.03225,0.258443,0.370463,0,0.600968,12.59492,3.151641,0.156512,8.480967,
10.75,2.234863,5.341231,14.0233,51.12629,0.335663,0.295474,0,0.577619,12.57765,3.011046,0.22074,8.323287,
11,2.497444,5.240266,13.93399,50.83503,0.228648,0.416914,0,0.571993,12.49011,3.077444,0.099965,8.474754,
11.25,2.56629,5.260637,13.88083,50.98151,0.287347,0.35702,0,0.540859,12.62042,3.065966,0.163824,8.37711,
11.5,2.650181,5.25153,13.6974,50.70918,0.295507,0.352079,0,0.596426,12.51279,3.032613,0.204677,8.40529,
11.75,2.710948,5.285576,13.86748,50.93338,0.306628,0.430389,0,0.577484,12.49102,3.023472,0.164802,8.370757,
12,2.770426,5.19643,13.93665,51.26836,0.271666,0.287242,0,0.572553,12.58934,3.02822,0.192093,8.393532,
12.25,2.712945,5.176093,13.91027,50.78724,0.302223,0.322166,0,0.605167,12.43835,2.986864,0.149605,8.405006,
12.5,2.709029,5.14359,13.87975,50.90886,0.322686,0.385233,0,0.575218,12.44659,3.112211,0.184487,8.267431,
12.75,2.687291,5.249595,13.81674,51.33281,0.38052,0.314558,0,0.636647,12.42484,3.109939,0.121326,8.367072,
13,2.736617,5.194395,13.89755,50.97774,0.279335,0.275247,0,0.575152,12.46053,2.962895,0.232247,8.290876,
