Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.120143,46.08055,0.34633,39.57145,-0.026784,0.027144,0,0.028825,0.299539,0.023259,0.138764,11.89309,
0.499999999999998,-0.04748,46.40698,0.289366,39.58544,-0.036186,0.060814,0,0.00855,0.340723,-0.006855,0.166347,11.89624,
1,-0.04083,46.37788,0.269433,39.88417,-0.065615,-0.004723,0,0.00704,0.341586,-0.023816,0.195179,11.79485,
1.5,-0.037338,46.12298,0.301762,39.76638,0.003086,0.013885,0,0.031327,0.304149,0.020288,0.234685,12.02269,
2,0.016174,46.06169,0.259286,39.88241,-0.060491,-0.017022,0,-0.005413,0.309786,0.059824,0.192227,11.99466,
2.5,-0.116819,45.87756,0.35252,39.69894,-0.023713,-0.017491,0,0.01034,0.344607,0.01696,0.245697,12.22565,
3,0.010791,44.90516,0.455644,40.07735,0.044283,-0.054529,0,0.004893,0.365387,0.049083,0.187375,12.7841,
3.5,0.092203,43.4925,1.042504,39.7522,0.028001,0.080684,0,-0.003038,0.450826,0.003538,0.211686,13.37794,
4,0.369657,39.71788,2.401245,39.9898,0.088162,0.093961,0,0.024333,0.923095,0.146551,0.257834,14.50332,
4.5,0.858563,29.22766,6.107547,41.01728,0.091716,0.100428,0,0.135864,2.231389,0.492262,0.205182,13.32557,
5,1.438166,21.71772,9.144471,42.29837,0.230757,0.171937,0,0.317114,3.81405,0.885154,0.151481,12.30521,
5.5,1.935264,16.32611,10.94523,44.11254,0.175948,0.238873,0,0.391673,5.037708,1.138857,0.13098,11.06766,
6,2.157278,12.78137,12.40232,45.65994,0.173372,0.208849,0,0.468447,6.189552,1.43695,0.108601,10.24603,
6.5,2.325672,10.40684,13.24643,47.05708,0.237794,0.300431,0,0.570157,7.052151,1.553209,0.187391,9.57416,
7,2.394483,8.755495,14.06449,48.38417,0.195539,0.307067,0,0.622564,7.882267,1.732575,0.121571,8.901003,
7.5,2.524693,7.600693,14.42571,49.34559,0.299583,0.281434,0,0.68011,8.478199,1.929806,0.135746,8.353045,
8,2.559716,6.623921,14.88676,50.1881,0.203512,0.341466,0,0.719398,9.027323,2.050593,0.066823,8.046761,
8.5,2.44382,6.182113,15.20221,50.69654,0.246297,0.333166,0,0.734389,9.359097,2.236576,0.146738,7.748069,
9,2.604556,5.743883,15.53161,51.23933,0.361799,0.376205,0,0.751171,9.804592,2.182339,0.12651,7.642893,
9.5,2.617804,5.362094,15.50743,51.36517,0.249821,0.394868,0,0.794759,9.909339,2.265704,0.176259,7.464589,
10,2.555264,5.09026,15.49164,51.54384,0.285762,0.259586,0,0.79275,10.15272,2.239522,0.116561,7.274087,
10.5,2.409859,4.897449,15.6648,51.78303,0.283912,0.374248,0,0.760658,10.27093,2.263086,0.050643,7.224349,
11,2.285484,4.769875,15.75885,51.93707,0.308665,0.367684,0,0.78468,10.4856,2.304159,0.158222,7.154082,
11.5,2.107291,4.611712,15.63385,51.69304,0.433438,0.31145,0,0.757463,10.56347,2.408467,0.124904,7.098039,
12,2.048563,4.746637,15.89715,51.95401,0.347645,0.336506,0,0.815503,10.49203,2.405605,0.137074,7.181281,
12.5,2.036917,4.723548,15.90776,52.19353,0.357304,0.3915,0,0.777652,10.53998,2.327311,0.118774,7.240654,
13,2.141865,4.815606,15.60597,51.75419,0.240631,0.359325,0,0.793967,10.34809,2.324781,0.103419,7.086657,
13.5,2.369601,4.961406,15.65648,52.22701,0.293289,0.316917,0,0.766261,10.32837,2.305331,0.094074,7.102839,
14,2.380117,5.214757,15.58771,51.96763,0.328492,0.252781,0,0.752717,10.02437,2.260922,0.136983,7.220194,
14.5,2.477176,5.485976,15.51599,51.7576,0.273735,0.291253,0,0.798207,9.918579,2.152936,0.224508,7.274102,
15,2.441196,5.892928,15.28212,51.92414,0.234877,0.260176,0,0.735619,9.72087,2.176637,0.069397,7.607929,
15.5,2.493997,6.350135,15.247,51.70582,0.366169,0.416021,0,0.664166,9.462793,2.051738,0.123787,7.781171,
16,2.420411,6.958803,14.90896,51.77444,0.297353,0.340281,0,0.687708,9.121655,1.939585,0.10364,7.954932,
16.5,2.433925,7.934851,14.51257,51.22076,0.318827,0.292147,0,0.637881,8.686358,1.913158,0.180664,8.199245,
17,2.336166,8.998988,14.32027,50.83286,0.231591,0.258183,0,0.673811,8.184348,1.922465,0.137887,8.584353,
17.5,2.271184,10.32136,13.85312,50.63834,0.250445,0.225484,0,0.568378,7.636961,1.815393,0.203372,9.062476,
