Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,0.279349,40.44516,4.150099,46.24693,0.118138,0.056623,0,0.059472,2.352392,0.572207,0.196935,10.79954,
0.500000000000001,1.089249,25.77512,9.909451,49.17239,0.201196,0.187128,0,0.205921,6.27935,1.355022,0.099647,9.245505,
1,1.418801,12.10425,13.17852,50.49715,0.406941,0.336514,0,0.230851,9.528369,2.068624,0.120569,6.237099,
1.5,1.623104,8.732365,14.25621,51.11322,0.370625,0.259993,0,0.269309,10.94191,2.369152,0.170853,5.569167,
2,1.440581,6.494697,15.02715,52.1524,0.402953,0.321572,0,0.320757,11.88207,2.662657,0.112409,5.173565,
2.5,1.207185,5.008896,15.81453,52.84272,0.471689,0.220504,0,0.30129,12.68216,2.807241,0.207324,4.92258,
3,0.851369,4.386707,16.33599,54.41035,0.382544,0.344725,0,0.350555,13.07262,2.879266,0.109497,4.857719,
3.5,0.549885,3.954301,16.84765,54.9937,0.474461,0.327424,0,0.339341,13.44717,2.955383,0.175495,4.818287,
4,0.426237,3.688371,16.91508,54.75851,0.458025,0.35785,0,0.310561,13.4472,2.906134,0.076833,4.886879,
4.5,0.329701,3.577746,16.91082,54.39179,0.451735,0.359608,0,0.295278,13.29951,2.943605,0.097309,4.922875,
5,0.269175,3.507179,16.59247,54.26595,0.512116,0.306588,0,0.238995,13.18813,2.884271,0.115467,4.996868,
5.5,0.306356,3.803662,16.34323,53.59348,0.389771,0.294956,0,0.280536,13.14675,2.943762,0.102619,4.934011,
6,0.587819,4.035558,15.95061,53.51787,0.395378,0.246104,0,0.263125,13.03956,2.8223,0.111682,4.964401,
6.5,0.829452,4.763556,16.16421,53.71994,0.364348,0.399841,0,0.307434,12.96519,2.945414,0.14982,5.041832,
7,1.223263,5.817508,15.30665,52.62716,0.359392,0.3079,0,0.26344,12.28302,2.660789,0.143463,5.239632,
7.5,1.468961,7.477877,14.46568,50.17705,0.337143,0.337648,0,0.252495,11.29393,2.393085,0.106724,5.450204,
8,1.523041,10.57488,12.82349,48.12407,0.348445,0.242044,0,0.237595,9.76983,2.265309,0.149234,6.177689,
8.5,1.135709,16.53265,10.39436,44.64182,0.233244,0.147067,0,0.155678,7.504906,1.812135,0.161572,7.755954,
9,0.448128,38.31345,4.325969,42.69074,0.024348,0.093762,0,0.082134,2.892903,0.484826,0.177026,11.08902,
9.5,0.108772,43.02009,2.096995,40.85601,0.066513,0.07748,0,0.058353,1.226879,0.203918,0.139332,11.05161,
10,0.037177,45.23165,1.107823,39.99062,0.078073,0.024058,0,-0.009955,0.663309,0.069485,0.18356,11.13356,
10.5,-0.018806,46.2017,0.581597,39.72264,0.03854,0.006151,0,-0.019034,0.318989,0.08,0.125165,10.82234,
11,-0.017017,46.47242,0.387195,39.82847,-0.004921,0.017216,0,-0.002354,0.220435,-0.010016,0.168641,11.1101,
11.5,0.030585,46.59923,0.39952,39.66891,0.019281,0.078807,0,0.007958,0.238047,-0.002679,0.092912,11.16652,
12,-0.050976,46.82188,0.293994,39.77068,0.040477,-0.020801,0,0.013065,0.248547,-0.00897,0.15634,11.13776,
12.5,-0.043812,46.39866,0.348697,39.74645,0.061927,-0.03834,0,0.001528,0.263679,-0.005867,0.200298,11.06547,
13,-0.095287,46.64149,0.272097,39.83532,0.012427,-0.00234,0,0.002144,0.251229,-0.002155,0.166096,11.1503,
