Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.025481,47.00213,0.334889,39.84177,0.031791,0.052924,0,-0.010963,0.345342,0.074812,0.139537,11.24392,
0.500000000000004,-0.084956,46.68066,0.300924,39.73198,0.033196,-0.007423,0,-0.006609,0.340743,0.054655,0.239536,11.21087,
0.999999999999997,-0.048737,46.03804,0.394106,39.9469,0.047433,0.062871,0,0.003318,0.343858,0.013861,0.213513,11.30778,
1.5,-0.044744,45.96445,0.315897,40.07204,0.009368,-0.095733,0,-0.004706,0.342223,0.063767,0.188743,11.34741,
1.99999999999999,0.008214,45.20268,0.640223,40.65438,-0.021273,0.022122,0,-0.021533,0.411728,0.091403,0.178447,11.51899,
2.5,0.079097,44.30428,1.055381,41.62207,-0.029137,-0.022379,0,0.027989,0.513283,0.039079,0.165078,11.98666,
3,0.195978,42.52243,2.147069,44.2664,0.041204,-0.029757,0,0.076409,0.917708,0.16659,0.179206,13.10844,
3.5,0.979984,33.26564,6.572144,48.03079,0.1588,0.095787,0,0.13445,2.620015,0.606299,0.1714,13.33249,
4,1.923647,18.66098,11.89505,50.14835,0.056265,0.137054,0,0.378155,6.236525,1.480081,0.182673,10.25539,
4.49999999999999,2.281569,11.24688,13.97558,50.76557,0.15515,0.20719,0,0.589649,8.66923,2.027375,0.057131,8.05987,
5,2.499646,7.273753,15.28567,51.84189,0.254479,0.259503,0,0.593708,10.50894,2.324407,0.141261,7.011356,
5.50000000000001,2.503674,5.015781,15.67507,52.02473,0.185511,0.253568,0,0.677361,11.70671,2.58999,0.135091,6.485838,
6,2.566952,3.801973,16.12957,52.26357,0.244215,0.401235,0,0.701857,12.43351,2.726538,0.205347,6.093043,
6.5,2.534671,3.299771,15.99009,52.42777,0.283995,0.289361,0,0.65611,12.78389,2.808479,0.106657,6.016361,
7,2.491912,3.241608,15.95725,52.51054,0.207827,0.403768,0,0.618794,13.08161,2.816658,0.123775,5.933685,
7.5,2.522708,3.21927,15.93802,52.18304,0.21828,0.323248,0,0.644593,13.24535,2.816562,0.131088,6.005878,
8.00000000000001,2.46227,3.433592,15.87977,52.02235,0.201677,0.311236,0,0.609356,13.15732,2.863236,0.073865,6.267942,
8.5,2.401783,3.424931,15.70554,52.17193,0.223856,0.320327,0,0.575191,13.22655,2.938855,0.027195,6.399476,
9.00000000000001,2.360946,3.55935,15.6828,52.02305,0.232595,0.319729,0,0.580408,13.41995,2.848309,0.189737,6.462749,
9.5,2.341719,3.53743,15.36566,51.63588,0.270896,0.308581,0,0.557921,13.38698,2.751652,0.117774,6.366821,
10,2.29546,3.697238,15.45969,51.82885,0.207824,0.387438,0,0.534679,13.43911,2.836434,0.160476,6.604641,
10.5,2.384645,3.816873,15.53765,51.88196,0.21567,0.327255,0,0.615382,13.52748,2.78497,0.141456,6.690042,
11,2.314857,3.7303,15.48081,51.41,0.17469,0.357266,0,0.571885,13.54331,2.842157,0.083962,6.636023,
11.5,2.306759,3.85455,15.46683,51.80656,0.251709,0.372046,0,0.583234,13.54445,2.852566,0.101188,6.769516,
12,2.272507,3.856225,15.31664,51.47595,0.270556,0.3048,0,0.566241,13.49669,2.843956,0.127711,6.657998,
12.5,2.247109,3.791937,15.19206,51.64821,0.181364,0.337528,0,0.654289,13.64827,2.822325,0.110966,6.756539,
13,2.248167,3.972142,15.27296,51.65089,0.158141,0.359133,0,0.501762,13.48163,2.87375,0.083638,6.72968,
13.5,2.266701,3.986717,15.33876,51.57625,0.226664,0.345426,0,0.498719,13.66615,2.848697,0.22452,6.790726,
14,2.173627,4.006944,15.14399,51.33265,0.179313,0.32005,0,0.554872,13.60457,2.897928,0.083066,6.81303,
14.5,2.339195,4.007629,15.1707,51.51098,0.260921,0.305713,0,0.517107,13.56836,2.741971,0.120771,6.803403,
15,2.161368,4.042784,15.07004,51.4846,0.165725,0.44603,0,0.535106,13.7447,2.803331,0.091606,6.757209,
15.5,2.227721,4.045278,15.1149,51.10509,0.242966,0.312343,0,0.522443,13.62271,2.909919,0.184849,6.798343,
16,2.177308,4.166296,14.999,50.9902,0.12361,0.344626,0,0.587081,13.59206,2.742946,0.144492,6.825805,
16.5,2.280124,4.229362,15.04463,51.3297,0.286308,0.350704,0,0.517636,13.68273,2.761937,0.070015,6.917595,
17,2.248045,4.115264,14.98163,51.3386,0.184464,0.279078,0,0.513702,13.57568,2.805698,0.158783,6.833363,
17.5,2.184301,4.119884,15.05566,51.3571,0.303736,0.304096,0,0.532728,13.59466,2.847162,0.136744,6.873544,
18,2.220868,4.186185,15.02039,50.95673,0.294335,0.345588,0,0.533071,13.63223,2.699469,0.14383,6.89912,
18.5,2.221346,4.202111,15.10924,51.33908,0.348611,0.344859,0,0.554588,13.58736,2.91682,0.108599,6.973942,
19,2.242759,4.140888,14.87881,50.89198,0.117483,0.363227,0,0.523159,13.78968,2.820933,0.139727,6.750195,
19.5,2.31049,4.198792,14.90433,51.31229,0.179604,0.304732,0,0.513933,13.65654,2.741755,0.144886,6.845861,
20,2.23422,4.20184,14.83519,50.94651,0.27127,0.258941,0,0.536055,13.6408,2.754719,0.073444,7.101113,
20.5,2.14803,4.20618,14.67147,50.87571,0.219433,0.326924,0,0.55062,13.83993,2.693878,0.138418,6.761971,
21,2.288893,4.164158,14.72402,50.72166,0.234694,0.287873,0,0.541652,13.86372,2.682728,0.109121,6.591419,
21.5,2.277211,4.154034,14.58951,50.99129,0.233273,0.399598,0,0.490791,13.80894,2.682711,0.174183,6.778966,
22,2.278812,4.37855,14.76593,50.97632,0.2102,0.322495,0,0.526039,13.85513,2.803555,0.112806,6.740377,
22.5,2.24881,4.324203,14.82412,50.93391,0.161793,0.296441,0,0.532986,13.90804,2.763545,0.124312,6.716189,
23,2.273849,4.38068,15.01712,51.05371,0.305608,0.285827,0,0.556992,13.853,2.673538,0.141253,6.895777,
23.5,2.22175,4.280891,15.01868,51.25661,0.173048,0.365064,0,0.504002,13.72765,2.891818,0.105367,7.015912,
24,2.227262,4.28306,14.75478,50.88269,0.248831,0.408662,0,0.547921,13.75182,2.827483,0.142861,6.950002,
24.5,2.171962,4.316797,14.68837,51.45023,0.250482,0.302576,0,0.569632,13.77473,2.796629,0.150921,6.956906,
25,2.200066,4.277349,14.94795,51.1708,0.283175,0.316208,0,0.53968,13.64421,2.777828,0.06403,7.013529,
25.5,2.152837,4.287509,14.86078,50.95094,0.220933,0.309318,0,0.55304,13.68259,2.86606,0.155046,6.832575,
26,2.143541,4.260579,14.97504,51.15903,0.198961,0.377595,0,0.532585,13.68469,2.791604,0.121451,6.964633,
26.5,2.216541,4.320623,14.88432,51.26116,0.192703,0.36298,0,0.497598,13.73767,2.698624,0.126735,7.010396,
27,2.139175,4.282197,14.88533,51.02232,0.300664,0.31528,0,0.525659,13.78714,2.760418,0.174441,6.925898,
27.5,2.179517,4.308075,14.84422,51.15989,0.27845,0.34474,0,0.518911,13.71008,2.735059,0.199413,6.899632,
28,2.121811,4.381421,14.78553,50.96328,0.276168,0.408799,0,0.559531,13.59416,2.727461,0.174361,6.951466,
28.5,2.140521,4.236261,14.82329,50.90909,0.216162,0.277835,0,0.545882,13.69046,2.747088,0.044136,7.019297,
29,2.119015,4.175471,14.95397,50.93729,0.212128,0.362888,0,0.500544,13.8558,2.71356,0.089454,6.963697,
29.5,2.179092,4.323049,14.881,51.04846,0.304762,0.338862,0,0.503,13.76925,2.826681,0.153252,7.130259,
30,2.21432,4.233222,14.96016,50.96123,0.219896,0.385475,0,0.515023,13.71641,2.622739,0.110378,6.924199,
30.5,2.140954,4.33483,14.90148,50.89141,0.248051,0.262243,0,0.521896,13.6522,2.734913,0.149343,7.037192,
31,2.050196,4.276254,14.85485,51.15826,0.251364,0.384941,0,0.521263,13.71983,2.803599,0.08417,6.94856,
31.5,2.205537,4.22975,14.72495,51.06431,0.211218,0.382818,0,0.483272,13.59975,2.806997,0.185668,6.995368,
32,2.142857,4.231021,14.92415,51.26047,0.208113,0.318786,0,0.569728,13.78041,2.749308,0.149381,6.999074,
32.5,2.239098,4.206179,14.84321,50.90893,0.197288,0.349902,0,0.532699,13.79084,2.780259,0.053545,6.929546,
33,2.072735,4.328956,14.74173,51.06285,0.305921,0.302925,0,0.5063,13.56769,2.770624,0.114082,6.78039,
33.5,2.153105,4.202864,14.82671,51.1521,0.175836,0.365679,0,0.496262,13.64383,2.795736,0.104412,7.023517,
34,2.207669,4.291394,15.01185,51.02552,0.258164,0.400488,0,0.504841,13.77137,2.821294,0.175225,6.911646,
34.5,2.162566,4.157394,14.75768,51.06729,0.163898,0.347887,0,0.506774,13.59191,2.820219,0.17362,7.047694,
35,2.154212,4.216325,14.89389,50.83157,0.274059,0.339442,0,0.499411,13.71003,2.843189,0.061575,6.851744,
35.5,2.183329,4.087252,14.76677,50.58162,0.275633,0.417306,0,0.530325,13.70669,2.760125,0.050919,6.902117,
36,2.15334,4.141484,14.84399,50.79879,0.260839,0.418261,0,0.555124,13.75956,2.800807,0.137705,6.888982,
36.5,2.074584,4.219999,14.81065,50.94732,0.17569,0.410511,0,0.529436,13.80563,2.834403,0.158977,6.83773,
