Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.058097,45.37562,0.346936,40.0794,-0.043057,0.057696,0,0.022245,0.240917,-0.017871,0.188212,13.89934,
0.5,-0.100102,45.20271,0.32553,39.93033,-0.007958,-0.000651,0,0.013529,0.255157,-0.005345,0.181851,14.21941,
1,-0.023254,44.95047,0.361023,39.76101,-0.001738,0.084373,0,-0.02314,0.295296,0.008442,0.195021,14.24996,
1.5,0.023434,44.58002,0.443805,39.88515,0.041536,0.02298,0,0.016805,0.331012,0.03678,0.23982,14.46903,
2,0.049274,43.3389,0.702764,39.87892,0.069656,-0.011657,0,0.012684,0.41799,0.039095,0.251756,14.8383,
2.5,0.28154,41.11362,1.461996,40.07858,0.014304,0.010837,0,-0.004466,0.582093,0.11692,0.203946,16.21302,
3,0.801187,31.50614,4.965753,40.91315,-0.015629,0.104316,0,0.118978,1.898497,0.388923,0.145186,15.55393,
3.5,1.783125,24.24836,7.532827,42.24069,0.12726,0.207419,0,0.174497,3.347451,0.835164,0.221224,14.431,
4,2.46043,19.22963,9.448359,43.47713,0.170788,0.402823,0,0.181735,4.552366,1.070813,0.210616,13.33746,
4.5,2.328846,15.22244,10.7344,44.67231,0.144338,0.860426,0,0.265264,5.579273,1.309243,0.14435,12.61518,
5,1.698428,12.44783,11.75015,46.23755,0.181082,1.567496,0,0.338365,6.510971,1.479213,0.163835,12.15563,
5.5,1.102736,10.30029,12.20094,46.72258,0.289139,2.465081,0,0.418719,6.946878,1.605152,0.172122,11.872,
6,0.755704,8.871438,11.704,45.38911,0.24666,3.344809,0,0.439915,7.102459,1.72671,0.164164,11.81492,
6.5,0.549947,7.5821,11.19145,43.64325,0.222004,3.710226,0,0.415066,7.202919,1.640412,0.098168,11.56892,
7,0.425726,6.694956,10.60526,41.68106,0.152065,3.445242,0,0.45281,7.342634,1.687194,0.155724,11.15512,
7.5,0.445985,6.477818,11.26126,42.95235,0.261962,2.858858,0,0.451134,7.6611,1.86114,0.126703,11.17596,
8,0.576009,7.198448,11.98489,45.26724,0.186005,2.038373,0,0.383026,7.652988,1.889068,0.159624,10.94501,
8.5,0.85648,8.777687,12.38584,47.27942,0.15196,1.160547,0,0.296065,7.513676,1.816169,0.193293,11.31276,
9,1.228976,11.51338,11.91974,47.42789,0.109293,0.717867,0,0.3447,6.842522,1.669394,0.176338,11.78817,
9.5,1.569921,14.73604,11.26596,48.05481,0.203807,0.427622,0,0.314994,6.186975,1.460465,0.257709,12.22518,
10,2.085043,18.71378,9.997874,47.02217,0.073496,0.216041,0,0.276582,5.101172,1.132579,0.128698,13.41036,
10.5,1.522212,24.10484,8.010636,45.96781,0.140853,0.238237,0,0.188731,3.777304,0.876581,0.191182,14.61887,
11,0.753039,31.11143,5.530009,44.79467,0.062445,0.071133,0,0.07619,2.27164,0.58038,0.192375,15.75908,
11.5,0.189678,40.56692,1.475572,42.16083,0.067473,-0.044452,0,0.030101,0.69333,0.163429,0.213777,17.24243,
12,0.041593,42.56396,0.731722,40.61042,0.082756,0.025831,0,0.016104,0.39571,0.082759,0.146561,15.43428,
12.5,-0.052608,43.66882,0.557352,40.27741,-0.035209,0.012327,0,0.016107,0.340174,0.010296,0.193857,14.93498,
13,-0.011593,44.46486,0.296202,39.95765,-0.009316,0.010746,0,-0.014527,0.241987,0.111101,0.218315,14.59484,
