Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,0.000377,44.90663,0.553266,39.47243,0.059041,-0.052158,0,0.020166,0.531594,0.109653,0.195851,12.98222,
0.5,-0.088054,44.10028,0.93887,39.97248,-0.016853,0.005086,0,0.049718,1.019634,0.164783,0.211687,13.26393,
1,0.115494,42.24826,1.934793,41.09671,0.052914,0.04767,0,0.080086,1.931594,0.335975,0.18328,13.74578,
1.5,0.326467,38.39434,3.507998,42.59673,0.072871,0.049967,0,0.173591,3.413945,0.626489,0.182968,13.58102,
2,0.585016,32.05355,6.294661,44.13129,0.206386,0.143804,0,0.264272,5.793633,1.22705,0.251319,13.39951,
2.5,1.12677,21.57612,10.12679,46.07083,0.258942,0.200337,0,0.355736,9.238914,1.855258,0.217738,11.07076,
3,1.763044,7.254569,13.93672,48.16666,0.338853,0.357633,0,0.488986,12.60667,2.667936,0.134393,6.844581,
3.5,1.913703,5.056614,14.99231,50.55653,0.398988,0.366399,0,0.575941,13.47703,2.732342,0.15201,6.425908,
4,2.17177,3.831233,15.39413,51.13319,0.406036,0.467269,0,0.562607,13.7536,2.795994,0.117586,6.3066,
4.5,1.84341,3.212839,15.63732,51.3617,0.464772,0.400336,0,0.532771,14.25267,2.777264,0.143337,6.160411,
5,1.540791,2.792725,15.86631,51.63166,0.444673,0.339878,0,0.518868,14.52533,2.899183,0.113452,6.355004,
5.5,1.141828,2.681575,15.97886,52.08985,0.500258,0.366153,0,0.542914,14.72641,2.966252,0.162894,6.470643,
6,0.690735,2.689447,16.25521,53.09378,0.429531,0.427813,0,0.532324,14.86235,3.000465,0.111924,6.71512,
6.5,0.549145,2.710148,16.62239,53.41451,0.380567,0.378562,0,0.540253,14.97117,3.026999,0.078613,6.730359,
7,0.334292,2.593074,16.96664,53.51028,0.387762,0.453983,0,0.514387,14.74101,2.910072,0.08351,6.720926,
7.5,0.223305,2.842501,16.6811,53.6595,0.543949,0.323684,0,0.521157,14.92444,2.923765,0.103489,6.806938,
8,0.259926,2.717846,16.50377,53.50983,0.459503,0.31583,0,0.501775,14.92795,2.921675,0.036253,6.719435,
8.5,0.202476,2.653209,16.06389,52.56856,0.374311,0.433181,0,0.522805,14.93222,2.940789,0.111553,6.732572,
9,0.318731,2.727061,16.16093,52.69888,0.406962,0.457295,0,0.493425,15.00199,2.883432,0.14293,6.807034,
9.5,0.600498,2.685302,16.04128,52.4091,0.450407,0.369494,0,0.530426,14.9136,2.956918,0.070938,6.525434,
10,0.934824,2.804641,15.69046,51.20512,0.435431,0.320967,0,0.538719,14.78051,2.860257,0.132349,6.668882,
10.5,1.20907,2.853175,14.74753,49.68222,0.328493,0.320326,0,0.555814,14.40396,2.887725,0.121365,6.618093,
11,1.746632,3.536803,13.92812,47.86335,0.390324,0.337013,0,0.468665,14.04263,2.919219,0.173304,6.390476,
11.5,1.90663,4.906554,13.11335,46.41703,0.448923,0.251258,0,0.527919,13.33611,2.804624,0.130595,6.552417,
12,1.706853,7.376162,11.58982,44.45985,0.373877,0.352183,0,0.436195,12.12772,2.574748,0.085285,7.043519,
12.5,1.389819,12.30083,9.643888,41.97792,0.309308,0.33605,0,0.376906,10.03794,1.994602,0.156177,8.378429,
13,0.605595,35.3735,4.125969,41.46774,0.139842,0.104312,0,0.16301,4.107563,0.802147,0.277265,13.00759,
13.5,0.233613,41.17017,2.182377,40.22739,0.013016,0.120843,0,0.054342,1.886314,0.361466,0.218304,12.86444,
14,0.018529,44.15075,1.051733,40.05535,-0.012836,-0.026285,0,-0.005251,0.897292,0.213178,0.197323,12.59582,
14.5,0.022903,45.38554,0.479466,39.96068,0.008668,-0.019073,0,-0.01289,0.431068,0.004735,0.23793,12.67553,
15,-0.062651,45.86546,0.409232,39.82754,0.000932,-0.007948,0,0.006224,0.347728,0.100649,0.234298,12.59801,
15.5,-0.009768,46.18785,0.386672,39.72514,0.030274,0.069883,0,-0.012267,0.29945,0.001384,0.129252,12.57324,
16,-0.054543,46.07071,0.364657,39.74267,0.040566,0.038026,0,0.038784,0.301293,-0.021897,0.180484,12.63974,
