Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.01391,46.67885,0.31122,40.02809,0.003043,-0.035181,0,0.002018,0.238794,0.018814,0.192934,11.38882,
0.5,-0.028808,46.79416,0.315071,39.9455,0.053857,0.061409,0,-0.023593,0.347981,0.059413,0.168505,11.56395,
0.999999999999998,-0.089418,46.40869,0.314551,40.00819,-0.033516,0.047997,0,-0.013998,0.315888,0.014124,0.169973,11.72329,
1.5,-0.051307,45.90349,0.402481,40.12072,0.003011,-0.013051,0,0.027636,0.334305,0.003391,0.196589,11.72072,
2,-0.032721,45.3575,0.436842,40.52036,-0.04136,0.071871,0,0.000852,0.33988,-0.004905,0.236346,12.20549,
2.5,0.007548,44.36613,0.495684,40.6302,0.040262,-0.037198,0,0.056102,0.360214,0.052825,0.201198,12.70481,
3,0.145519,42.80102,1.300992,41.70496,-0.055011,-0.055085,0,0.024569,0.552011,0.096916,0.146248,13.22749,
3.5,0.292816,38.59441,2.545774,42.45739,-0.027878,0.028984,0,0.025579,0.909933,0.234176,0.203038,12.94255,
4,0.564725,35.51112,3.97678,42.80912,0.133659,0.042401,0,0.096585,1.419585,0.379387,0.197382,12.69882,
4.5,0.852623,32.36388,4.885204,43.28081,0.089673,0.041972,0,0.153996,1.868323,0.36658,0.110437,12.45996,
5,1.93686,30.35594,6.012866,43.8126,0.17603,0.079182,0,0.218863,2.394385,0.533746,0.215795,12.30101,
5.5,2.508605,29.15456,6.723459,44.50638,0.0602,0.100179,0,0.216628,2.811835,0.656008,0.217381,12.14842,
6,0.943642,27.94681,7.232221,44.78315,0.110649,0.120215,0,0.278502,3.050598,0.681457,0.212833,12.03762,
6.5,0.612417,27.37182,7.18501,43.68731,0.165142,0.060314,0,0.290543,3.173412,0.657224,0.188796,12.17086,
7,0.45747,27.32786,7.072795,43.03357,0.240845,0.073818,0,0.303192,3.047693,0.647244,0.179543,12.18664,
7.5,0.61511,27.53397,7.011498,43.2942,0.153551,0.164184,0,0.295983,3.117575,0.690222,0.149859,12.00397,
8,0.800731,28.54996,6.759647,42.7746,0.043385,0.144195,0,0.252875,2.863345,0.622663,0.157877,12.32243,
8.5,0.39379,29.65809,6.135909,42.06339,0.068132,0.025047,0,0.258474,2.455231,0.541841,0.206044,12.45676,
9,0.258202,32.194,4.992321,41.50514,0.059519,0.099501,0,0.14309,1.993084,0.371361,0.147977,12.89524,
9.5,0.170905,35.11768,3.744001,40.48081,0.027249,0.129484,0,0.110106,1.480749,0.340235,0.200507,13.03868,
10,0.030532,39.19506,2.457133,39.84037,0.034839,0.023699,0,0.044315,0.937549,0.206088,0.236148,13.29219,
10.5,0.02984,43.77709,0.884833,39.82934,-0.044923,-0.009974,0,0.012654,0.46127,0.088191,0.177946,13.58062,
11,-0.099151,45.3228,0.500527,39.82644,0.069367,-0.036181,0,-0.006499,0.359536,0.000325,0.20692,13.02652,
11.5,-0.062865,46.17923,0.336599,39.95474,0.042588,-0.003842,0,0.058297,0.290976,0.030359,0.219434,12.43152,
12,-0.024727,46.59918,0.317582,40.09216,0.042819,-0.031686,0,0.004221,0.295669,-0.027524,0.171868,12.13948,
12.5,-0.073508,46.2963,0.298387,39.78218,0.011181,-0.050517,0,-0.014978,0.341081,-0.022661,0.230091,11.59599,
13,-0.096542,47.04907,0.309747,39.92495,-0.079238,0.016814,0,-0.024124,0.28259,0.013868,0.119304,11.67373,
