Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,42.10747,-0.030862,26.91373,0.167489,18.35532,0.023637,-0.005271,-0.020064,0.289475,0.023375,0.178048,10.81876,
1.49999999999999,42.38307,-0.042396,26.83264,0.228238,18.50354,0.060722,0.001362,0.010661,0.399149,0.0278,0.135657,10.83043,
3.00000000000001,43.76531,0.084,25.78628,0.679456,19.64338,0.031657,-0.016406,0.014617,0.626004,0.062478,0.21388,11.5101,
4.50000000000001,42.37693,1.8084,8.903847,5.869569,21.25804,0.146488,0.040665,0.527109,6.683864,0.962278,0.168084,9.08096,
6,41.97889,2.152035,4.51139,6.845169,21.37815,0.213311,0.057327,0.573,9.540976,1.225146,0.144838,8.929234,
7.49999999999999,41.82481,2.013541,4.490374,6.771155,21.30479,0.231698,0.060522,0.583286,9.638086,1.218522,0.162902,9.061991,
9.00000000000001,41.48504,2.060633,4.613958,6.595856,21.12221,0.198974,0.076682,0.589365,9.531033,1.305137,0.143114,9.083953,
10.5,41.66159,2.073184,4.825505,6.635541,21.19206,0.168287,0.046325,0.615563,9.467702,1.214904,0.162218,9.019019,
12,41.40722,2.017495,4.85467,6.670184,21.05103,0.191813,0.074888,0.598826,9.389055,1.278172,0.136877,8.862948,
13.5,41.79104,2.033451,4.922297,6.740709,21.21236,0.204476,0.050489,0.596869,9.362682,1.198198,0.189171,8.776787,
15,41.5648,1.976556,5.011754,6.513991,21.1398,0.195618,0.050888,0.581455,9.353224,1.259919,0.105183,8.936017,
16.5,41.78711,2.000094,4.957078,6.631324,21.30461,0.195419,0.065891,0.613612,9.349583,1.211164,0.127017,9.086899,
18,41.68494,2.062961,4.990083,6.600885,21.21459,0.204318,0.046157,0.642382,9.346593,1.262955,0.123901,8.871679,
19.5,41.75087,1.981959,4.961117,6.693144,21.27869,0.198962,0.063078,0.601636,9.300914,1.185716,0.128432,8.896237,
21,41.64319,2.067807,5.025528,6.575204,21.20728,0.210832,0.050564,0.59228,9.289984,1.227939,0.145991,8.898117,
22.5,41.65241,2.109398,4.935725,6.701694,21.1732,0.162287,0.034541,0.566765,9.225036,1.21772,0.192775,9.014043,
