Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,2.074088,8.046832,6.594399,21.44192,0.234505,0.030936,0.619717,6.786535,1.109826,0.128461,7.972851,42.6697,
1.5,2.434089,4.41079,7.07547,21.64859,0.302885,0.035439,0.580379,9.367322,1.436523,0.094772,7.982823,42.37088,
3,2.377341,4.462952,6.898432,21.53275,0.299302,0.024723,0.54109,9.513563,1.40014,0.127845,8.131191,42.18699,
4.5,2.301911,4.741237,6.829901,21.44943,0.237137,0.055652,0.559812,9.456442,1.353349,0.108778,8.316002,42.06213,
6,2.329358,4.929787,6.729188,21.53193,0.259757,0.045355,0.556075,9.262638,1.354741,0.104471,8.196759,42.13237,
7.5,2.319891,5.003145,6.792567,21.51993,0.289712,0.039086,0.533668,9.291576,1.326873,0.118877,8.252731,42.33051,
9,2.273566,5.072765,6.822762,21.53359,0.281582,0.017593,0.557043,9.264865,1.39536,0.11522,8.181413,42.38095,
10.5,2.312953,5.205858,6.798059,21.63514,0.276427,0.036588,0.53741,9.259043,1.360745,0.108254,8.242016,42.55217,
12,2.38634,5.160031,6.898247,21.56052,0.303337,0.042169,0.545526,9.176664,1.383765,0.135711,8.246434,42.66931,
13.5,2.285743,5.162752,6.869724,21.65,0.271052,0.054305,0.550847,9.208571,1.401314,0.125154,8.208154,42.60669,
15,2.396184,5.27835,6.838331,21.73889,0.308312,0.001056,0.558978,9.206638,1.387779,0.151746,8.264649,42.80344,
16.5,2.319756,5.269772,6.927932,21.76712,0.275832,0.02821,0.565198,9.244734,1.345702,0.110408,8.209569,42.86835,
18,2.374891,5.223843,6.821855,21.75897,0.283247,0.032131,0.56658,9.184968,1.355996,0.110005,8.236948,42.76274,
19.5,2.310679,5.274798,6.859946,21.6864,0.263262,0.03873,0.563468,9.170203,1.36204,0.160009,8.250807,42.71176,
21,2.416342,5.275406,6.915363,21.65387,0.285787,0.056714,0.538913,9.212124,1.335148,0.108022,8.230544,42.74054,
22.5,2.330806,5.19629,6.818985,21.64479,0.241767,0.054993,0.567499,9.201012,1.379601,0.124718,8.23177,42.49934,
24,2.393687,5.200811,6.884759,21.67465,0.273682,0.051828,0.555935,9.228213,1.349917,0.147148,8.288235,42.7344,
25.5,2.332632,5.188766,6.815316,21.54339,0.261481,0.046223,0.547113,9.185278,1.366308,0.099239,8.280384,42.4076,
27,2.342053,5.127337,6.839079,21.50306,0.243993,0.031084,0.546914,9.156746,1.396588,0.135634,8.312329,42.31584,
28.5,2.299519,5.066663,6.870966,21.52954,0.302431,0.042639,0.555604,9.196702,1.383513,0.093458,8.283105,42.39742,
30,2.352398,4.981524,6.784203,21.6353,0.275754,0.031365,0.548651,9.306235,1.397159,0.152608,8.233465,42.45292,
31.5,2.308435,4.989485,6.837886,21.52229,0.267256,0.052178,0.585386,9.313418,1.372176,0.108634,8.314574,42.36959,
33,2.300198,4.938537,6.890275,21.58629,0.273735,0.036105,0.572337,9.455228,1.368379,0.149583,8.275997,42.49165,
34.5,2.352706,4.754362,6.892881,21.49948,0.275639,0.034298,0.534951,9.4475,1.33277,0.097457,8.346308,42.27829,
36,2.371111,4.620805,6.927052,21.58538,0.271182,0.032987,0.545968,9.470216,1.380538,0.154358,8.250814,42.36534,
37.5,2.472623,4.315857,7.127804,21.69869,0.280389,0.036835,0.563426,9.461231,1.47492,0.142946,8.175996,42.545,
39,2.517739,4.923823,7.250839,21.6294,0.255647,0.022108,0.580975,8.659223,1.388757,0.106508,7.834075,42.48512,
40.5,2.029115,9.713034,6.238869,20.99831,0.211795,0.034143,0.526127,5.513824,0.93897,0.120453,8.523907,42.35264,
42,0.206039,26.0571,0.909642,19.19738,0.022906,0.004301,0.052999,0.703609,0.089637,0.179451,10.80604,43.5896,
43.5,0.022065,27.34289,0.252214,18.6,0.012019,-0.007967,0.02109,0.340172,0.021608,0.13342,10.72792,42.78453,
45,-0.028083,27.61518,0.253392,18.72035,0.01617,-0.004496,0.029129,0.312323,0.014968,0.124623,10.35209,42.97535,
46.5,-0.044623,27.64988,0.271866,18.66562,0.00198,0.007649,-0.003488,0.296235,0.017428,0.1525,10.23094,42.86781,
