Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,38.90769,2.197608,7.363125,5.850754,19.01469,0.222961,0.032509,0.564023,6.776715,1.17559,0.10686,8.210418,
1.5,40.64997,2.448258,4.212214,6.785814,20.49345,0.275047,0.006141,0.558608,9.269842,1.434738,0.140843,8.016418,
3,41.66452,2.399042,4.248362,6.932796,21.14788,0.311643,0.029909,0.551994,9.567685,1.424687,0.142051,8.121344,
4.5,41.95496,2.274884,4.527283,6.885262,21.31907,0.288071,0.035824,0.518964,9.519415,1.40756,0.134475,8.283089,
6,41.92429,2.296851,4.689837,6.823903,21.25881,0.305104,0.025851,0.502857,9.44733,1.396415,0.149971,8.30662,
7.5,41.96521,2.24631,4.855959,6.785883,21.32264,0.247746,0.054166,0.539397,9.362808,1.381588,0.136032,8.379934,
9,41.94224,2.300965,4.812084,6.774899,21.31419,0.267974,0.02067,0.514862,9.342931,1.360643,0.14595,8.290084,
10.5,41.80381,2.294178,4.899841,6.753037,21.23295,0.251092,0.021821,0.539095,9.344492,1.346607,0.109004,8.275803,
12,41.71399,2.235424,4.892391,6.659982,21.21963,0.282561,0.029795,0.566682,9.266667,1.369558,0.120576,8.18032,
13.5,41.92146,2.242985,4.965843,6.728195,21.28337,0.261246,0.052621,0.554905,9.243075,1.329784,0.148603,8.268886,
15,41.7047,2.265436,4.964997,6.639686,21.21427,0.258698,0.015928,0.556918,9.21556,1.359703,0.143932,8.250933,
16.5,41.50113,2.265211,5.004059,6.655855,21.03145,0.241971,0.030511,0.54554,9.200357,1.325913,0.12753,8.330129,
18,41.71052,2.278709,4.989777,6.673201,21.14095,0.281476,0.032977,0.547014,9.22065,1.345171,0.140056,8.226809,
19.5,41.94455,2.226031,5.015855,6.70659,21.30728,0.290939,0.033338,0.53447,9.176391,1.333677,0.136525,8.400312,
21,41.72684,2.283321,4.99173,6.737994,21.09195,0.266506,0.028988,0.563222,9.197171,1.336501,0.132301,8.317274,
22.5,41.70633,2.303324,4.969138,6.672632,21.14701,0.253857,0.032762,0.518462,9.200865,1.336495,0.14001,8.305361,
24,41.63955,2.242987,5.035429,6.648432,21.1223,0.262274,0.049363,0.546731,9.215847,1.338696,0.116034,8.253917,
25.5,42.00925,2.356604,4.997854,6.742856,21.26956,0.280109,0.02967,0.567899,9.240746,1.406648,0.109482,8.397417,
27,42.05502,2.336155,4.988845,6.803759,21.2815,0.270949,0.035171,0.536694,9.280227,1.341676,0.103952,8.263057,
28.5,41.88832,2.287365,4.931396,6.754813,21.20707,0.264917,0.013914,0.539717,9.300568,1.418829,0.153761,8.238053,
30,42.05824,2.386964,4.923702,6.773236,21.2979,0.275068,0.029799,0.522847,9.318917,1.337797,0.134451,8.354188,
31.5,42.28181,2.352349,4.816129,6.848937,21.50689,0.259693,0.043074,0.56297,9.387353,1.346799,0.129639,8.302071,
33,42.14609,2.41012,4.693485,6.898519,21.38662,0.256687,0.021064,0.517288,9.464761,1.399436,0.120341,8.283144,
34.5,41.8634,2.32981,4.524229,6.893054,21.31075,0.271479,0.021917,0.547709,9.453417,1.364978,0.129835,8.208359,
36,42.54199,2.457643,4.365289,7.142446,21.70119,0.283403,0.044967,0.561786,9.53502,1.430604,0.132912,8.106301,
37.5,42.25541,2.436265,4.352184,7.201456,21.53115,0.306376,0.029294,0.590611,9.205252,1.45957,0.10934,7.908006,
39,42.34286,2.353216,6.839049,6.916107,21.2563,0.266363,0.015765,0.569358,7.236997,1.185381,0.117712,8.064805,
40.5,44.18518,0.618015,23.31552,2.086528,20.05789,0.027829,-0.005415,0.10726,1.387743,0.215313,0.166677,10.54722,
42,42.76403,0.025201,26.85833,0.410747,18.70312,-0.023348,0.026644,-0.010767,0.381059,0.026295,0.133589,10.94869,
43.5,42.79881,-0.022773,27.44457,0.231037,18.64925,0.002398,0.020534,0.012854,0.326596,0.028104,0.120629,10.59639,
45,42.81894,-0.014984,27.56642,0.21244,18.69484,0.004225,-0.000075,0.020151,0.33356,0.022807,0.137256,10.28844,
46.5,42.82552,-0.030721,27.73725,0.266784,18.57627,0.01033,0.009305,-0.006558,0.308066,0.015189,0.142828,10.09257,
