Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,-0.072016,27.76161,0.287394,18.95154,-0.018448,0.004744,0.007796,0.008119,0.366764,0.016681,0.159733,10.29353,43.27105,
1.5,0.169919,25.70543,1.041723,19.14886,0.018806,0.072939,0.009984,0.137421,1.183006,0.172915,0.161685,10.51822,43.64442,
3,2.067984,7.167766,6.308371,20.06613,0.174435,0.337907,0.081601,1.006802,7.762213,1.244953,0.116043,7.683099,41.10333,
4.5,2.252138,4.050562,7.058783,21.21616,0.18566,0.408564,0.06192,0.881639,9.462548,1.502484,0.199046,7.847133,42.12235,
6,2.182575,3.970781,7.069773,21.4887,0.180279,0.396019,0.074515,0.885589,9.64313,1.429327,0.113192,8.142659,42.41054,
7.5,2.259234,4.361051,7.086435,21.56294,0.188278,0.408902,0.061105,0.880809,9.646595,1.424902,0.050865,8.285125,42.80339,
9,2.248972,4.511083,6.974362,21.45887,0.15289,0.369388,0.088582,0.863646,9.519851,1.457417,0.13395,8.254498,42.60667,
10.5,2.177081,4.610831,6.909261,21.39036,0.160036,0.416461,0.097712,0.842157,9.563734,1.421244,0.107736,8.343647,42.58523,
12,2.180313,4.768898,6.939394,21.35159,0.162376,0.355573,0.054419,0.845651,9.407583,1.35947,0.13981,8.281977,42.41,
13.5,2.123624,4.733821,6.939699,21.5155,0.208784,0.32355,0.115703,0.883333,9.285103,1.461578,0.110274,8.259077,42.60198,
15,2.212545,4.763113,6.91728,21.44125,0.163118,0.392194,0.086433,0.86842,9.389433,1.437979,0.123968,8.027526,42.54818,
16.5,2.258928,4.742842,6.817035,21.45399,0.192693,0.382639,0.057623,0.863582,9.323187,1.370541,0.129096,8.072483,42.52222,
18,2.095508,4.694111,6.870065,21.34652,0.190919,0.397696,0.056198,0.849543,9.332724,1.412144,0.145622,8.049518,42.4066,
19.5,2.174206,4.659266,6.86774,21.44665,0.187282,0.349048,0.059493,0.907036,9.395171,1.381982,0.186402,8.232715,42.46972,
21,2.217128,4.646902,6.923713,21.43702,0.16762,0.381829,0.061194,0.910078,9.357731,1.411488,0.173461,8.225857,42.52728,
22.5,2.220095,4.632547,6.945899,21.47193,0.201714,0.383801,0.085411,0.881617,9.4573,1.44608,0.138566,8.190966,42.66415,
24,2.163422,4.323448,7.061495,21.4712,0.208587,0.345471,0.085862,0.90394,9.517876,1.396204,0.109246,8.173123,42.46368,
25.5,2.273355,4.157214,7.041929,21.45531,0.191737,0.390397,0.086127,0.933376,9.52276,1.497457,0.126807,7.934369,42.47132,
27,2.369888,4.019621,7.078211,21.18448,0.177952,0.413359,0.052331,0.950922,9.397867,1.472267,0.127949,7.90867,42.03213,
28.5,2.260258,5.529644,6.268023,19.92078,0.196074,0.403477,0.048802,0.991114,8.366886,1.392493,0.235473,7.673079,40.37582,
30,0.578311,22.06801,2.085898,19.03477,0.062604,0.121807,0.027649,0.346195,2.53041,0.372267,0.169566,9.870203,42.81746,
31.5,0.089547,26.1961,0.509072,18.61564,-0.001673,0.010392,0.020509,0.073258,0.639049,0.064198,0.189506,10.72069,42.48668,
33,-0.013498,27.38317,0.201822,18.70567,-0.022119,0.005222,0.000504,0.009361,0.346839,0.006346,0.205651,10.85894,42.86641,
34.5,0.000222,27.38236,0.246393,18.59352,-0.028587,-0.010172,-0.019281,0.008566,0.351021,0.012666,0.173728,10.48013,42.66511,
