Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,1.337206,2.650263,3.744347,10.87759,0.131644,0.303357,5.492492,1.464588,0.100097,7.446584,23.78432,
1.5,1.85703,4.671128,6.592478,19.66928,0.15064,0.427663,7.978847,1.888189,0.168081,8.138762,39.3679,
3,1.070456,5.315342,7.154857,22.53804,0.171849,0.457458,8.883719,1.994353,0.11492,8.69913,43.7658,
4.5,0.659669,5.733976,7.520656,23.35712,0.120359,0.437479,8.984131,2.046073,0.164955,8.630208,45.27877,
6,0.634436,5.591913,7.296114,23.04539,0.144866,0.482208,8.994743,2.05547,0.14206,8.656541,44.63488,
7.50000000000001,1.231645,5.531499,7.257129,22.4883,0.150802,0.448526,8.923359,1.999684,0.139863,8.597942,44.07487,
9,1.841148,5.365665,7.165886,22.40681,0.129496,0.421283,8.956306,2.035851,0.08236,8.346265,43.76145,
10.5,1.993208,4.864227,7.307043,22.41168,0.133863,0.516618,8.860201,2.054025,0.112662,8.182307,43.68037,
12,2.01652,5.460878,7.43307,22.0777,0.138909,0.4877,8.50412,2.060421,0.140117,7.627001,43.55315,
13.5,1.057317,16.73221,5.251384,21.84699,0.096378,0.366081,4.782335,1.096137,0.137176,8.786214,46.55746,
15,0.101942,26.92877,1.029455,19.73063,0.005032,0.060431,0.818527,0.146915,0.205393,10.752,44.89975,
16.5,-0.012849,27.81096,0.278989,18.94289,-0.002138,-0.002718,0.301544,0.086462,0.181976,10.958,43.64188,
18,-0.037525,27.56931,0.292866,18.76638,0.017946,0.022867,0.24261,0.005095,0.169227,11.11379,43.33964,
19.5,-0.07626,27.78949,0.299555,18.71039,0.000112,0.00476,0.237395,0.000896,0.16042,11.28075,43.40367,
