Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,41.5622,0.289324,15.68639,3.065699,19.72559,0.126922,-0.004178,0.067156,5.549296,0.312317,0.158344,10.87689,
1.5,41.99443,1.06076,6.117859,6.078667,21.123,0.164681,0.009879,0.287264,11.5149,1.170448,0.098093,8.133701,
3,42.10108,1.995253,3.043824,7.561066,21.64729,0.268352,0.047873,0.694127,10.44922,1.555768,0.120022,7.485097,
4.5,42.28907,2.084918,2.593852,7.927578,21.78809,0.254787,0.020141,0.806952,10.05871,1.657593,0.145687,7.578872,
6,42.20988,2.067259,2.647943,7.897941,21.72508,0.290612,0.054035,0.749855,10.02755,1.667441,0.060057,7.447521,
7.5,42.31458,1.959703,2.646442,7.789673,21.84865,0.303614,0.035817,0.73178,10.12504,1.60714,0.175931,7.481535,
9,42.19806,1.994249,2.725366,7.814439,21.78689,0.257425,0.063584,0.705962,10.11202,1.629994,0.144686,7.435699,
10.5,42.04688,1.913294,2.720812,7.831931,21.70373,0.269195,0.06023,0.710426,10.14691,1.558929,0.061925,7.248803,
12,42.35007,1.957697,2.75487,7.89049,21.78782,0.292859,0.052876,0.727477,10.21,1.59643,0.101168,7.3952,
13.5,42.0755,1.980381,2.668027,7.901106,21.58757,0.250802,0.054013,0.791095,10.22264,1.604331,0.106574,7.410051,
15,41.79229,1.886073,2.717793,7.790939,21.53078,0.271829,0.049412,0.7418,10.15009,1.643934,0.090925,7.088854,
16.5,41.5145,1.935326,2.619287,7.742513,21.31977,0.24089,0.064437,0.737159,10.18277,1.572109,0.104599,7.317244,
18,41.15011,1.946465,2.610502,7.5841,21.11999,0.247254,0.046322,0.734478,10.17017,1.599068,0.149518,7.217021,
19.5,40.96407,1.868421,2.6721,7.513514,20.95484,0.267516,0.064731,0.752893,10.2303,1.616611,0.093842,7.30263,
21,41.4836,1.714926,2.64875,7.675502,21.36569,0.24804,0.053557,0.716053,10.16628,1.585185,0.149837,7.52415,
22.5,42.06705,1.718093,2.727358,7.83725,21.63733,0.219528,0.070712,0.748012,10.20562,1.632512,0.089081,7.441918,
24,42.27382,1.934824,2.728161,7.92422,21.72161,0.262938,0.057894,0.719618,10.25187,1.638185,0.1556,7.401209,
25.5,42.39898,1.957513,2.757053,7.891045,21.86679,0.271264,0.015285,0.712652,10.22168,1.606834,0.10003,7.306019,
27,42.29406,2.03164,2.747838,7.865644,21.83149,0.267736,0.045159,0.730329,10.10052,1.570148,0.099058,7.320325,
28.5,42.52205,2.034089,2.779627,7.844982,21.96072,0.301507,0.07367,0.739318,10.10778,1.628964,0.044182,7.367763,
30,42.40841,2.006153,2.716635,7.928713,21.86168,0.280834,0.045067,0.730869,10.12625,1.630506,0.152231,7.441774,
31.5,42.449,2.037224,2.724909,7.873374,21.96493,0.265167,0.059244,0.801438,9.941939,1.649733,0.122249,7.535586,
33,42.563,1.986377,3.04871,7.767843,21.9515,0.256456,0.023411,0.711719,9.978099,1.532685,0.144212,7.628668,
34.5,42.86624,1.756283,5.657781,6.793211,21.93937,0.196881,0.050066,0.506977,9.893086,1.134068,0.15773,7.853446,
36,42.83767,0.251922,17.57592,2.590997,20.68474,0.010264,0.01536,0.049372,4.845998,0.220533,0.157458,10.62859,
37.5,42.28896,0.06974,25.90552,0.312755,18.56192,-0.021655,0.03067,-0.021814,0.476678,0.007444,0.184198,12.11927,
39,42.36288,-0.017962,26.63106,0.248329,18.4224,0.005744,0.020656,-0.016549,0.340011,0.024531,0.151884,11.51436,
