Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.064552,27.62355,0.398051,19.45079,0.016161,-0.009522,-0.016444,0.00812,0.370417,0.053308,0.163805,10.72445,44.07013,
1.5,1.070332,18.34359,3.798694,21.31212,0.045831,0.062648,-0.004689,0.307032,2.362001,0.352815,0.166762,9.173434,44.26369,
3,1.82871,7.263409,6.559935,21.81956,0.059589,0.191585,-0.025002,0.617023,7.054376,1.151648,0.097459,7.676874,42.51631,
4.5,1.849152,4.85336,6.967011,21.65816,0.091559,0.229041,0.069045,0.683384,9.110366,1.452665,0.085911,7.639385,42.28077,
6,1.722389,4.866984,6.722787,21.62654,0.085582,0.2067,0.068219,0.628771,9.656479,1.408092,0.185376,7.691392,42.14161,
7.5,1.692606,5.198268,6.66467,21.7279,0.089453,0.20768,0.027185,0.581834,9.676557,1.450208,0.118407,7.890174,42.54626,
9,1.688677,5.359756,6.519587,21.57795,0.018277,0.243063,0.000624,0.592235,9.647571,1.394357,0.005361,8.063396,42.24065,
10.5,1.707065,5.475501,6.450708,21.52578,0.105005,0.185078,0.055712,0.548407,9.616615,1.366777,0.123891,7.981645,42.17678,
12,1.703571,5.584682,6.443709,21.49849,0.102027,0.217523,0.02384,0.598398,9.633904,1.39557,0.055304,8.064973,42.2828,
13.5,1.709156,5.627521,6.440055,21.62161,0.112311,0.200707,0.02508,0.606617,9.533863,1.386341,0.183153,8.095272,42.40678,
15,1.76095,5.653029,6.508002,21.48931,0.091855,0.232841,0.038892,0.563214,9.508625,1.344949,0.098089,8.184098,42.41498,
16.5,1.789457,5.612932,6.504305,21.71812,0.092138,0.217954,0.039534,0.62524,9.574728,1.387008,0.171586,8.122203,42.64238,
18,1.694279,5.578189,6.401296,21.69857,0.082066,0.201774,0.047639,0.596995,9.613539,1.376218,0.149952,8.052184,42.49463,
19.5,1.676911,5.603179,6.553307,21.6832,0.073913,0.196993,0.018883,0.589523,9.56683,1.376527,0.128645,8.106042,42.50195,
21,1.730888,5.589814,6.596274,21.67143,0.069733,0.23531,0.059802,0.612379,9.5571,1.402681,0.149096,7.98983,42.54913,
22.5,1.763288,5.435597,6.573947,21.68254,0.103291,0.185505,0.024853,0.623976,9.673046,1.35063,0.133913,8.110526,42.58197,
24,1.742484,5.399674,6.584383,21.65464,0.085871,0.196615,0.073298,0.647641,9.55227,1.42796,0.064817,8.010667,42.49122,
25.5,1.763841,5.351399,6.62481,21.51804,0.11257,0.232617,0.014423,0.612814,9.640896,1.429043,0.131088,8.069561,42.45965,
27,1.693997,5.404781,6.511791,21.47222,0.086018,0.224639,0.027503,0.618291,9.664878,1.443369,0.130092,8.076387,42.23353,
28.5,1.721856,5.191821,6.596115,21.48372,0.102511,0.212509,0.020041,0.596713,9.710567,1.40492,0.163629,7.900005,42.18872,
30,1.858319,5.255276,6.600495,21.50644,0.109663,0.237067,0.053004,0.603714,9.874735,1.401976,0.16513,7.769182,42.32456,
31.5,1.789761,5.094202,6.571151,21.51607,0.096633,0.179934,0.026589,0.591946,9.768857,1.380282,0.084599,8.206448,42.17557,
33,1.800553,5.143359,6.643788,21.6818,0.080712,0.209259,0.061433,0.60673,9.677365,1.383535,0.117492,7.955227,42.31709,
34.5,1.707869,5.046626,6.690017,21.67996,0.078258,0.226896,0.041594,0.636016,9.669397,1.480658,0.100468,7.757709,42.34785,
36,1.783187,4.917645,6.826555,21.70283,0.117215,0.202628,0.057808,0.661501,9.71751,1.431577,0.145247,7.739764,42.42947,
37.5,1.772812,4.785537,6.893847,21.76092,0.084162,0.216629,0.047883,0.677125,9.616683,1.500112,0.107553,7.723416,42.44609,
39,1.94667,4.586017,7.01293,21.73555,0.09458,0.230284,0.043662,0.655217,9.340946,1.436455,0.090043,7.630041,42.26165,
40.5,1.997393,4.68552,7.05353,21.39503,0.117042,0.204725,0.047871,0.696192,8.929527,1.473989,0.131006,7.554662,41.82498,
42,1.84822,8.304723,6.207565,19.96088,0.095082,0.169138,0.019102,0.578415,5.996199,0.973739,0.082887,8.026379,40.32258,
43.5,0.609771,21.93279,2.267391,18.6938,0.024183,0.077139,-0.012854,0.169515,1.359314,0.189152,0.154637,9.999315,41.89273,
45,0.019563,27.05499,0.307615,18.5679,-0.013259,-0.006868,0.015637,0.016215,0.396612,0.021566,0.230275,11.00289,42.65789,
