Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.205691,25.55069,0.950925,18.61365,0.005048,0.011518,0.054768,0.743997,0.080224,0.148402,10.30755,42.44043,
3,1.824159,4.719821,7.037636,21.5888,0.232297,0.029709,0.708293,9.264106,1.478942,0.141893,7.570039,42.01295,
6,1.660632,5.002372,6.614006,21.75133,0.185411,0.048098,0.608142,9.777235,1.429641,0.140686,7.981186,42.19411,
9,1.630103,5.402752,6.499893,21.60362,0.199226,0.043875,0.585126,9.69398,1.42966,0.146186,8.042115,42.19245,
12,1.69617,5.502596,6.506933,21.51312,0.200272,0.027632,0.600755,9.580042,1.388451,0.129137,8.04339,42.10493,
15,1.630237,5.461932,6.410035,21.59073,0.183974,0.043812,0.572601,9.571983,1.382148,0.098198,7.981534,41.95823,
18,1.64252,5.566324,6.492976,21.72076,0.194137,0.031038,0.5754,9.528978,1.41633,0.132083,8.119978,42.37159,
21,1.672291,5.539783,6.414021,21.62382,0.179015,0.018784,0.57842,9.608129,1.41111,0.085548,8.110337,42.12867,
24,1.651401,5.575758,6.491436,21.51422,0.200594,0.056839,0.590012,9.564569,1.402292,0.087296,8.092425,42.05569,
27,1.633467,5.556513,6.44668,21.71615,0.217632,0.053665,0.575166,9.541903,1.390024,0.159971,8.014721,42.30134,
30,1.679004,5.570189,6.458179,21.75662,0.214202,0.02102,0.617724,9.567758,1.409034,0.130161,8.102412,42.4286,
33,1.63686,5.553123,6.466542,21.56794,0.193872,0.049108,0.56196,9.541779,1.341093,0.109006,8.138056,42.0719,
36,1.621943,5.54755,6.425982,21.6165,0.196276,0.022436,0.602333,9.695354,1.370252,0.139373,8.148168,42.19561,
39,1.697938,5.532164,6.441278,21.55284,0.194388,0.048805,0.60313,9.630845,1.432885,0.102557,8.042327,42.18337,
42,1.650839,5.452538,6.499909,21.63046,0.20118,0.029419,0.601559,9.652936,1.429444,0.12086,7.985575,42.30169,
45,1.738516,5.186745,6.55112,21.70426,0.210111,0.052863,0.602264,9.783617,1.435812,0.143218,7.923718,42.26872,
48,1.749839,4.859791,6.825465,21.70868,0.213733,0.056912,0.636697,9.529126,1.448901,0.122509,7.836448,42.12503,
51,1.881471,4.738853,7.097835,21.78774,0.237684,0.030637,0.696375,8.927299,1.39852,0.165387,7.432333,42.14439,
54,1.560429,11.11465,5.729933,21.18734,0.138031,0.051851,0.509296,4.52143,0.777499,0.173251,8.338954,42.21077,
57,0.165288,26.85363,0.704367,19.61298,0.013571,0.014931,0.031627,0.45843,0.057449,0.14879,10.4372,44.04103,
60,-0.009809,27.02358,0.29863,18.35693,0.002473,0.0189,0.041507,0.326112,0.017533,0.174688,10.91429,42.38332,
63,-0.021905,27.20403,0.300457,18.41341,-0.023458,-0.003806,-0.003186,0.299984,-0.004207,0.180423,10.8131,42.44914,
