Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,1.07529,17.66432,4.544869,21.40407,0.246685,0.3131,0.044546,1.095815,5.009749,0.734163,0.141264,8.874445,46.6191,
1.5,2.758564,4.816282,7.331415,21.3331,0.457293,0.52359,0.102269,1.618413,8.21049,1.251307,0.133614,7.802199,43.10851,
3,2.787041,3.465832,7.19216,21.27685,0.421019,0.490367,0.085674,1.502957,8.769953,1.325231,0.094584,8.277107,42.27083,
4.5,2.758554,3.564473,7.009916,21.0906,0.433633,0.474121,0.094261,1.444202,8.839493,1.340432,0.124135,8.467553,42.04468,
6,2.738945,3.601057,6.958752,21.08628,0.418012,0.463466,0.098054,1.419441,8.859058,1.347415,0.08977,8.560707,42.0126,
7.5,2.761835,3.6276,6.989654,21.09752,0.418002,0.477809,0.083543,1.424477,8.752925,1.35337,0.085709,8.446997,42.07586,
9,2.660162,3.805491,7.052922,20.93869,0.43634,0.460882,0.086616,1.460164,8.22219,1.305557,0.138904,8.30229,41.73773,
10.5,2.755888,4.765919,6.916631,20.57844,0.398726,0.454508,0.066977,1.390654,7.085552,1.108153,0.128574,8.209063,41.14974,
12,2.595141,8.146257,6.180339,19.70857,0.331565,0.345815,0.050421,1.103026,5.002977,0.821722,0.121923,8.562495,40.4825,
13.5,1.51778,15.98063,4.043749,18.53484,0.168294,0.174699,0.033512,0.574212,2.302522,0.375091,0.121688,9.661339,40.44838,
15,0.117886,26.15258,0.582994,18.49872,0.003118,0.029383,-0.000763,0.049053,0.467405,0.039527,0.150995,10.53127,42.30035,
16.5,-0.038847,26.99483,0.268648,18.48396,-0.01951,-0.016774,-0.006534,0.007437,0.351246,0.027177,0.179954,10.89993,42.41431,
18,-0.022954,27.01544,0.23221,18.45218,-0.009128,0.019021,0.014091,0.021752,0.345779,0.04425,0.143621,10.97677,42.4824,
