Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.630625,20.93476,2.840394,21.93476,0.022418,0.033573,0.10229,1.722096,0.190594,0.166599,10.68063,45.5456,
1,1.534058,8.493443,6.248067,22.51391,0.149519,0.029297,0.303675,6.004096,0.905783,0.140779,8.323016,43.19485,
2,1.761859,5.03897,7.197388,22.8022,0.1556,0.049956,0.402314,8.217482,1.142793,0.094912,7.89067,42.99189,
3,1.722757,4.113176,7.422867,22.67728,0.16136,0.038649,0.400657,9.106277,1.232487,0.139781,7.714561,42.85026,
4,1.676096,3.975438,7.407872,22.76884,0.147093,0.050499,0.380032,9.276894,1.256316,0.117015,7.853704,42.90825,
5,1.650295,4.13869,7.42263,22.79719,0.157525,0.024595,0.39117,9.299064,1.240083,0.105213,7.801298,43.09166,
6,1.697871,4.199794,7.435684,22.83166,0.174641,0.037977,0.384634,9.205333,1.227735,0.126207,7.802002,43.16249,
7,1.691588,4.213715,7.417587,22.8098,0.173268,0.040487,0.409689,9.131326,1.224556,0.128646,7.868624,43.05982,
8,1.669163,4.215328,7.398388,22.69003,0.175011,0.043183,0.416956,9.170522,1.256489,0.160892,7.880655,42.9887,
9,1.727383,4.196511,7.418968,22.70737,0.163434,0.026857,0.408787,9.129527,1.253144,0.163119,7.856272,43.06982,
10,1.665648,4.193057,7.40767,22.66354,0.161228,0.051256,0.408784,9.139893,1.237249,0.064386,7.849868,42.95771,
11,1.724218,4.221646,7.364636,22.75444,0.177443,0.060968,0.403756,9.095847,1.266624,0.163285,7.795179,43.05195,
12,1.75249,4.190852,7.402759,22.76787,0.170156,0.075591,0.369205,9.162992,1.264249,0.117517,7.72917,43.07016,
13,1.732117,4.212144,7.43789,22.73235,0.159731,0.074898,0.414886,9.083817,1.246821,0.138234,7.801746,43.01361,
14,1.710988,4.204211,7.380087,22.77559,0.159018,0.05113,0.432493,9.110708,1.239298,0.113047,7.848456,43.11522,
15,1.705425,4.19255,7.386384,22.75392,0.154859,0.054671,0.376581,9.088395,1.23687,0.137447,7.931744,43.05024,
16,1.710665,4.159616,7.434031,22.71462,0.140645,0.050907,0.401383,9.128963,1.228687,0.134466,7.873586,42.97027,
17,1.661056,4.153955,7.420655,22.7652,0.168136,0.05149,0.435805,9.105347,1.248924,0.11204,7.79542,42.93888,
18,1.709193,4.158396,7.412562,22.78185,0.178679,0.030813,0.416647,9.158384,1.225581,0.13325,7.896136,43.06914,
19,1.694321,4.120609,7.47372,22.84271,0.173415,0.040725,0.381175,9.229308,1.242633,0.094246,7.861625,43.18342,
20,1.7165,4.068627,7.412473,22.78328,0.13049,0.060529,0.393612,9.226426,1.202716,0.138499,7.876162,43.02705,
21,1.697972,4.04046,7.480736,22.77094,0.170224,0.047831,0.370555,9.284617,1.252485,0.132427,7.731695,43.0884,
22,1.702833,3.814791,7.389512,22.58774,0.197612,0.038814,0.39051,9.124673,1.214796,0.131887,7.669955,42.58456,
23,1.696029,3.747176,7.219334,21.95155,0.143643,0.050411,0.3776,8.576997,1.202893,0.094061,7.446102,41.3118,
24,1.694829,4.619196,6.77916,20.83306,0.153499,0.062467,0.386476,7.603449,1.109318,0.125694,7.494924,39.8077,
25,1.589321,7.817505,6.010344,19.95953,0.09853,0.03252,0.32242,5.478856,0.848213,0.135541,8.382258,39.32931,
26,1.071271,15.56424,3.880231,18.94664,0.075684,0.027777,0.1715,2.453618,0.338492,0.151876,10.03604,40.03831,
27,0.07701,25.517,0.701156,18.39923,0.001868,0.002605,0.009304,0.468003,0.03255,0.147401,11.2199,41.96295,
28,-0.010764,26.60307,0.310161,18.35065,-0.009529,0.00784,0.008169,0.30387,0.018377,0.185539,11.26436,42.18326,
