Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,42.52673,0.061119,25.31886,0.651937,19.03596,-0.013899,0.018216,-0.001405,0.003059,0.428217,0.022035,0.175723,11.22345,
1,43.67127,0.682533,19.42223,3.03945,20.86255,0.017702,0.024941,0.020167,0.123154,1.908637,0.268275,0.117819,10.57105,
2,41.9663,1.531636,8.836302,5.98537,21.72771,0.052587,0.119115,0.05669,0.296997,5.45063,0.769625,0.153262,8.533532,
3,41.94842,1.696108,5.809787,6.730948,22.14427,0.087166,0.146333,0.040136,0.337124,7.034765,1.00921,0.150668,8.01122,
4,41.89278,1.7017,4.696496,6.964453,22.24391,0.065181,0.153133,0.054851,0.364148,7.933326,1.085133,0.112476,7.918807,
5,42.05671,1.664663,4.311566,7.095669,22.31392,0.064232,0.169634,0.070741,0.381912,8.361835,1.156857,0.124561,7.853674,
6,42.4411,1.722953,4.077771,7.19447,22.59585,0.081302,0.174077,0.07854,0.385916,8.658717,1.181523,0.12757,7.684594,
7,42.30973,1.664988,4.021168,7.231952,22.41911,0.076575,0.178879,0.049488,0.406723,8.833614,1.208957,0.09775,7.781363,
8,42.34955,1.716653,3.950112,7.206048,22.46249,0.053689,0.175309,0.056824,0.381827,8.976886,1.189445,0.095105,7.75283,
9,42.45663,1.688223,3.973471,7.199057,22.51108,0.06237,0.162691,0.051342,0.412261,8.997885,1.239819,0.124277,7.756355,
10,42.4901,1.659761,4.030136,7.232293,22.50431,0.06775,0.163787,0.053729,0.405041,9.00905,1.219874,0.16129,7.757656,
11,42.53431,1.686616,4.032885,7.184096,22.52917,0.08969,0.166514,0.057638,0.404301,9.087382,1.2459,0.122066,7.697025,
12,42.50244,1.634101,4.043242,7.200327,22.47638,0.101065,0.193367,0.038402,0.424359,9.068144,1.205546,0.108711,7.804911,
13,42.53067,1.618659,4.016449,7.213487,22.52463,0.074173,0.177363,0.042095,0.401513,9.083416,1.196398,0.135211,7.737278,
14,42.35244,1.641833,4.002689,7.15369,22.5052,0.062577,0.160827,0.057025,0.361844,9.019587,1.189471,0.084646,7.804168,
15,42.43582,1.602938,3.979584,7.203616,22.46966,0.098162,0.163606,0.067232,0.422363,9.057268,1.21883,0.121582,7.851433,
16,42.11871,1.64931,3.891479,7.141027,22.24125,0.058468,0.159434,0.050999,0.393424,9.176392,1.259024,0.124583,7.770575,
17,41.48504,1.647158,3.767481,6.976926,21.89239,0.106772,0.15257,0.038517,0.388704,9.136302,1.228969,0.106629,7.807996,
18,40.23676,1.616058,4.103158,6.5892,21.1202,0.071625,0.151582,0.035532,0.380664,8.727779,1.207227,0.110458,7.77633,
19,38.47918,1.581372,6.151931,5.668855,19.69605,0.070989,0.128577,0.028373,0.365113,7.249033,1.10359,0.096842,7.995864,
20,40.78793,0.497162,19.8115,2.342949,18.57209,0.005274,0.034477,0.012098,0.152247,2.177034,0.293684,0.15936,10.70324,
21,41.29601,0.022457,25.29861,0.479226,18.15802,-0.023336,0.017031,-0.012344,0.049343,0.469344,0.016734,0.118099,11.16084,
