Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,44.64584,2.604651,7.691219,7.093903,23.78857,0.10064,0.024987,0.548748,5.418689,1.199517,0.043805,6.704216,
1.5,44.2014,2.723571,2.790197,7.995746,24.31318,0.137536,0.015346,0.617887,8.119532,1.754976,0.070739,5.68152,
3,44.17754,2.644023,2.51584,7.984804,24.22413,0.126212,0.036249,0.598264,8.756046,1.85374,0.081182,6.1109,
4.5,43.95229,2.480543,2.702798,7.735468,23.90696,0.151979,0.060156,0.538919,8.981841,1.924427,0.113563,6.304582,
6,44.01105,2.493253,2.923872,7.582925,23.97776,0.149017,0.011059,0.525346,8.970048,1.816416,0.105678,6.506461,
7.5,43.96957,2.401706,3.008274,7.603287,23.88762,0.15582,0.018978,0.533755,8.999366,1.839728,0.122444,6.627216,
9,43.73611,2.264424,3.049436,7.384562,23.86437,0.134794,0.022205,0.524588,9.093949,1.856127,0.127503,6.511342,
10.5,43.77933,2.165272,3.174095,7.366779,23.85537,0.129731,0.023505,0.466413,9.162839,1.809861,0.139924,6.679278,
12,43.46156,2.33003,3.133687,7.400282,23.65153,0.108245,0.037313,0.450923,9.115227,1.743073,0.121793,6.742819,
13.5,43.67295,2.366551,3.018183,7.446585,23.76762,0.141187,0.057499,0.540691,9.03208,1.861738,0.162923,6.501992,
15,43.75624,2.350969,3.020206,7.51916,23.84191,0.140751,0.049649,0.523018,9.068667,1.773023,0.115398,6.603354,
16.5,43.90443,2.375399,2.999818,7.595991,23.95959,0.123754,0.057295,0.526655,8.995442,1.839414,0.081102,6.447388,
18,44.00357,2.379735,2.803122,7.700229,24.04641,0.138851,-0.002796,0.522424,8.927643,1.913517,0.140536,6.318943,
19.5,44.06355,2.471082,2.60203,7.805472,24.11594,0.167408,0.043404,0.546415,8.726002,1.882614,0.103195,6.106146,
21,43.05793,2.614605,2.828626,7.730614,23.49226,0.155556,0.014328,0.628063,8.33453,1.823985,0.131315,5.810306,
22.5,41.00817,2.268427,7.753515,6.281691,21.15726,0.05992,0.027349,0.564472,5.64475,1.340281,0.166433,6.59596,
24,43.69957,0.111463,27.33451,0.767641,19.32671,0.010037,-0.013918,0.068633,0.556951,0.094557,0.151509,8.619337,
