Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,39.9208,2.152544,9.586343,5.244993,20.22739,0.051701,0.010191,0.515759,5.266815,1.244766,0.096864,6.908426,
1.5,41.17295,2.666604,3.126858,7.166015,22.32267,0.086212,0.058557,0.645004,8.061909,1.79754,0.10118,5.692576,
3,43.05814,2.64291,2.529521,7.650431,23.56082,0.123591,0.018556,0.595346,8.715692,1.899529,0.045518,5.945319,
4.5,43.91449,2.559857,2.629786,7.758837,24.08477,0.136576,0.022335,0.520153,8.891912,1.894708,0.132863,6.179652,
6,43.83514,2.488324,2.770264,7.660943,23.9975,0.166677,0.020618,0.522926,8.973269,1.891971,0.048502,6.321962,
7.5,43.86205,2.423326,2.967456,7.508556,23.87256,0.17465,0.048537,0.5154,9.043142,1.860738,0.142079,6.316307,
9,43.5697,2.380914,2.92881,7.473892,23.73771,0.141533,0.008023,0.491444,9.019523,1.866577,0.108048,6.539259,
10.5,43.83428,2.344347,2.998638,7.430513,23.96356,0.152086,0.024628,0.506353,9.094281,1.843436,0.108576,6.616871,
12,43.68298,2.207467,3.123649,7.50955,23.77357,0.138891,0.056738,0.498252,9.046182,1.861376,0.154515,6.665275,
13.5,43.54476,1.792911,3.145379,7.487688,23.74941,0.172589,0.025625,0.529412,9.048187,1.806225,0.137458,6.596771,
15,43.7419,1.43705,3.21804,7.516202,23.98574,0.11146,0.033946,0.492215,9.196033,1.862852,0.077461,6.659027,
16.5,43.83541,1.790323,3.110626,7.562207,23.96424,0.132239,0.032469,0.522924,9.036305,1.852542,0.092739,6.613223,
18,43.91928,2.327093,3.055751,7.537063,24.03508,0.165553,0.024704,0.518399,8.895444,1.79297,0.115369,6.513576,
19.5,43.71585,2.445126,3.019295,7.525583,23.91214,0.102841,0.004561,0.530355,8.951652,1.825673,0.11577,6.312637,
21,43.86669,2.505758,2.910356,7.608109,23.98958,0.141865,0.02501,0.537385,8.943319,1.806184,0.104703,6.445005,
22.5,43.73389,2.563028,2.836956,7.668506,23.85002,0.178907,0.042789,0.556518,8.947613,1.784936,0.075179,6.270538,
24,43.88784,2.523894,2.718483,7.779456,23.99908,0.138379,0.049317,0.555804,8.892718,1.87431,0.077561,6.17219,
25.5,43.88187,2.617804,2.535764,7.896165,24.09378,0.12374,0.048014,0.56415,8.759401,1.915824,0.109533,5.865441,
27,43.92064,2.730095,2.600891,8.059982,24.1732,0.135487,0.033495,0.631409,8.180167,1.848597,0.100806,5.638747,
28.5,44.22339,2.633025,5.265259,7.580999,24.12106,0.083376,0.039842,0.623578,6.468973,1.451274,0.07698,6.204893,
30,46.42286,1.330503,19.30172,3.802039,22.87489,0.05293,-0.011909,0.191506,1.864117,0.392389,0.16622,8.976232,
31.5,44.45216,0.035757,28.46362,0.356725,19.97545,-0.004942,-0.043563,0.017826,0.254958,-0.029328,0.105395,8.505838,
