Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,1.528039,11.34452,5.935063,22.84365,0.130029,0.010788,0.614062,5.026485,1.217683,0.117655,8.320045,45.00319,
1.5,1.75888,4.686754,6.867919,22.93939,0.173973,0.043468,0.635416,8.518774,1.889535,0.120334,8.066158,43.46826,
3.00000000000001,1.545906,4.557707,6.617676,22.5167,0.170157,0.018125,0.509463,8.960773,1.844608,0.115219,8.523388,42.81879,
4.5,1.541903,4.840839,6.497479,22.45073,0.166839,0.008061,0.522749,9.040446,1.900919,0.131877,8.663954,42.96325,
6,1.414868,5.076455,6.437428,22.45742,0.165838,0.017675,0.485245,8.99873,1.818779,0.102784,8.811884,42.96914,
7.5,1.463947,5.25254,6.451359,22.62067,0.182645,0.028908,0.484049,8.908968,1.811953,0.119708,8.78601,43.24179,
9,1.420926,5.334496,6.440705,22.55595,0.160134,0.042734,0.484105,8.919847,1.789339,0.138483,8.776483,43.19498,
10.5,1.433991,5.312805,6.368087,22.31718,0.148716,0.039006,0.475087,8.921401,1.808933,0.180663,8.775599,42.87604,
12,1.399352,5.297089,6.326932,22.27904,0.159243,0.041814,0.463567,8.888723,1.76658,0.173373,8.833517,42.76245,
13.5,1.483606,5.46025,6.360076,22.48011,0.151497,0.020639,0.457207,8.890733,1.750519,0.129285,8.770413,43.07645,
15,1.46405,5.434911,6.282542,22.39254,0.16158,0.039999,0.460972,8.887308,1.765947,0.130105,8.791823,42.97496,
16.5,1.429461,5.44359,6.332809,22.42126,0.184619,0.032614,0.476414,8.898661,1.716586,0.104779,8.897422,43.10954,
18,1.480248,5.511345,6.330073,22.45822,0.132257,0.044371,0.469882,8.860052,1.795117,0.140475,8.771648,43.10235,
19.5,1.507914,5.52144,6.363428,22.48563,0.154176,0.023568,0.500047,8.919046,1.74245,0.147343,8.817032,43.22517,
21,1.435284,5.428712,6.444752,22.47995,0.14837,0.033545,0.485822,8.872685,1.747316,0.173654,8.845882,43.14905,
22.5,1.485019,5.432019,6.415664,22.52253,0.18072,0.044229,0.510078,8.8359,1.797714,0.158901,8.845113,43.31397,
24,1.476115,5.350967,6.402145,22.61571,0.150558,0.020736,0.484028,8.947409,1.763943,0.146139,8.82537,43.30083,
25.5,1.516751,5.249328,6.493972,22.72074,0.152464,0.036401,0.473999,8.99952,1.745933,0.146883,8.859774,43.44626,
27,1.49526,5.106622,6.518245,22.77794,0.187336,0.036983,0.500362,9.041679,1.852472,0.161977,8.864414,43.61219,
28.5,1.575338,4.991455,6.551947,22.67868,0.166836,0.015663,0.472072,9.110356,1.846985,0.134306,8.831295,43.44285,
30,1.533536,4.717005,6.653532,22.77292,0.184787,0.024432,0.513539,9.058868,1.887558,0.123016,8.704858,43.45205,
31.5,1.640024,4.461638,6.80524,22.78944,0.16693,0.026899,0.531823,9.083881,1.899779,0.17592,8.442966,43.44416,
33,1.818082,4.567711,6.632554,21.81934,0.170829,0.039216,0.607528,8.457686,1.886108,0.125824,7.935169,41.9024,
34.5,1.489284,11.35502,4.906096,19.81338,0.098849,0.043036,0.560912,4.73444,1.151768,0.140116,8.535737,40.46403,
36,0.050724,27.64618,0.554338,19.28417,0.017624,0.000406,0.022822,0.444104,0.108773,0.179006,9.780853,43.89989,
37.5,-0.023779,28.52544,0.236397,19.05518,0.017475,0.022844,0.010198,0.285668,0.011313,0.168222,9.65679,43.75824,
