Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.023638,26.67993,0.503848,18.60584,-0.010694,-0.004668,0.026773,0.504295,0.030288,0.122981,9.740097,42.36311,
1.5,0.748169,19.44408,3.773874,20.88301,0.084575,0.009186,0.388277,3.260725,0.530418,0.154838,10.01888,45.05187,
3,1.924395,4.79859,7.347605,21.99267,0.188819,0.031975,0.742458,9.190848,1.477356,0.090333,7.68094,42.88609,
4.5,1.829267,4.217787,7.047391,21.82564,0.21426,0.045388,0.641516,9.810486,1.50238,0.103378,8.277318,42.39355,
6,1.739172,4.564291,6.752506,21.70863,0.222757,0.03433,0.579515,9.875134,1.497381,0.10968,8.535266,42.32842,
7.5,1.667215,4.779611,6.678001,21.65647,0.175729,0.040242,0.546935,9.802341,1.431764,0.109603,8.519788,42.18998,
8.99999999999999,1.601156,5.041409,6.577941,21.68525,0.197206,0.018721,0.531523,9.75191,1.427846,0.130976,8.592465,42.2952,
10.5,1.650243,5.055514,6.532104,21.583,0.167022,0.031772,0.56085,9.768315,1.411178,0.092484,8.612676,42.09719,
12,1.691993,5.140429,6.566297,21.48874,0.17916,0.047706,0.507666,9.681891,1.384409,0.110892,8.7064,42.10505,
13.5,1.61252,5.095331,6.462553,21.40713,0.185466,0.048414,0.5528,9.547154,1.39936,0.131396,8.634314,41.8182,
15,1.643104,5.17543,6.548193,21.469,0.187656,0.046233,0.548191,9.572118,1.399472,0.144764,8.648757,42.02353,
16.5,1.639404,5.05893,6.448002,21.37607,0.196642,0.032149,0.535852,9.574224,1.367583,0.15024,8.527114,41.71424,
18,1.624266,5.025784,6.470979,21.41164,0.194086,0.048424,0.552666,9.628337,1.394938,0.127432,8.651838,41.85693,
19.5,1.663435,4.940175,6.501495,21.48419,0.169838,0.045728,0.571993,9.663797,1.404739,0.181416,8.574142,41.86122,
21,1.694208,4.861045,6.627516,21.49377,0.178741,0.043843,0.518977,9.74272,1.406625,0.155966,8.662648,42.03683,
22.5,1.674017,4.670054,6.667993,21.5366,0.215407,0.043424,0.540814,9.671165,1.438719,0.128534,8.516025,42.06062,
24,1.762921,4.307954,6.890407,21.56507,0.200561,0.034548,0.607439,9.773795,1.514606,0.107463,8.415755,42.01145,
25.5,1.869154,4.390373,6.800207,20.76674,0.180361,0.049824,0.661504,9.182124,1.514888,0.130045,7.849419,40.69705,
27,1.401083,11.99595,4.825273,18.87111,0.138907,0.024243,0.577852,4.861747,0.838545,0.141159,8.778071,39.6917,
28.5,0.063719,26.44973,0.510258,18.42468,0.01647,-0.003811,0.019266,0.528868,0.059244,0.135609,9.785997,42.10003,
30,-0.014316,27.44202,0.215713,18.43444,-0.017182,-0.002189,-0.021198,0.372474,0.025745,0.148156,9.761607,42.31496,
