Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.132061,26.49413,0.637855,19.81296,-0.00911,0.019969,0.433323,0.014711,0.192796,9.852407,43.83619,
1.5,1.26749,14.3584,4.552321,21.63378,0.091399,0.279062,3.150222,0.649907,0.170089,8.78729,43.07106,
3,1.692975,7.180682,6.215516,22.19847,0.148737,0.458645,6.187874,1.240865,0.180892,7.965005,42.18206,
4.5,1.673671,4.849617,6.620447,22.27268,0.151007,0.41314,7.948147,1.493788,0.082917,8.00886,41.97062,
6,1.612644,4.476467,6.575756,22.22797,0.157861,0.383531,8.634501,1.697908,0.137268,8.03856,42.02505,
7.5,1.552343,4.696332,6.39787,22.35984,0.168471,0.410789,8.748515,1.599131,0.165375,8.347305,42.15296,
9,1.544799,4.967802,6.376073,22.14561,0.196578,0.386627,8.739273,1.600418,0.110961,8.401519,42.12818,
10.5,1.545636,5.109914,6.366172,22.0401,0.16477,0.3958,8.602454,1.58675,0.143304,8.387135,42.02995,
12,1.516411,5.227552,6.334367,22.23132,0.163363,0.388386,8.619532,1.557347,0.122499,8.535593,42.26332,
13.5,1.565394,5.366674,6.293249,22.08488,0.161952,0.356128,8.530625,1.477055,0.106467,8.486787,42.1362,
15,1.508253,5.398386,6.276087,22.09487,0.156872,0.41181,8.516449,1.494129,0.124695,8.393459,42.11212,
16.5,1.567543,5.459617,6.248592,22.05758,0.165256,0.368877,8.528788,1.539056,0.122847,8.345721,42.10296,
18,1.557413,5.419848,6.323909,22.13843,0.155926,0.395222,8.500343,1.545441,0.175969,8.32238,42.20685,
19.5,1.524688,5.540341,6.305371,22.05533,0.172057,0.405764,8.407682,1.493772,0.154129,8.25796,42.16508,
21,1.479625,5.60216,6.244874,22.07664,0.19025,0.427219,8.410718,1.515487,0.134848,8.408352,42.20405,
22.5,1.544924,5.575401,6.299065,22.09367,0.14546,0.408841,8.362094,1.536271,0.105502,8.442195,42.15772,
24,1.514153,5.665532,6.269064,22.05918,0.162532,0.383203,8.350677,1.442949,0.157508,8.414927,42.23328,
25.5,1.510537,5.65261,6.302314,22.19698,0.158483,0.397152,8.389375,1.560075,0.154716,8.291837,42.34784,
27,1.563577,5.634391,6.283556,22.18217,0.125061,0.376004,8.306822,1.501792,0.173133,8.290296,42.19647,
28.5,1.491602,5.686085,6.295919,22.07751,0.165239,0.403422,8.35463,1.528584,0.151602,8.449163,42.25274,
30,1.502738,5.642063,6.414855,22.09038,0.139969,0.389079,8.303288,1.509987,0.157026,8.253715,42.26288,
31.5,1.543374,5.715161,6.342126,22.1183,0.157316,0.402203,8.303882,1.505091,0.13773,8.187098,42.32117,
33,1.545121,5.701097,6.302068,22.1979,0.121936,0.392369,8.366421,1.522337,0.097268,8.234399,42.29873,
34.5,1.525719,5.726865,6.366789,22.29324,0.175752,0.40388,8.326056,1.482131,0.158313,8.412012,42.57357,
36,1.492633,5.724823,6.272867,22.23311,0.146772,0.432394,8.292213,1.517254,0.137593,8.408603,42.42317,
37.5,1.502619,5.615419,6.311287,22.04082,0.146806,0.358793,8.243787,1.473264,0.159425,8.283354,42.06556,
39,1.565696,5.720152,6.311632,21.88106,0.159515,0.369356,8.275575,1.508508,0.135782,8.363679,41.991,
40.5,1.578215,5.614398,6.205002,21.93351,0.148061,0.390095,8.249996,1.521711,0.133318,8.319553,41.92958,
42,1.49622,5.68161,6.309324,22.00794,0.172096,0.420273,8.260812,1.483202,0.056469,8.376,42.25408,
43.5,1.532605,5.742038,6.31761,21.94184,0.165908,0.380622,8.166718,1.471785,0.149523,8.309812,42.22493,
45,1.520452,5.733545,6.230545,21.91072,0.119202,0.417128,8.274033,1.462207,0.154761,8.39801,42.06339,
46.5,1.544142,5.705489,6.147388,21.81692,0.130023,0.39261,8.199655,1.530897,0.135498,8.411066,42.14404,
48,1.532422,5.495862,5.805417,19.41798,0.139962,0.33104,7.117535,1.448119,0.181093,9.28202,40.30798,
49.5,1.244792,5.232822,5.296575,10.95667,0.068575,0.175453,3.167368,1.29341,0.190418,13.93522,36.63778,
51,-0.017911,7.140742,6.87554,0.583266,0.011324,0.004158,0.171897,1.138834,0.104721,17.9686,32.15715,
