Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,39.45474,1.535781,10.65934,5.137272,19.49137,0.091466,0.353966,4.264372,0.901112,0.167165,8.575145,
1.5,40.91291,1.6985,5.21977,6.345944,21.40322,0.16008,0.421162,7.610986,1.491315,0.154551,7.903203,
3,42.09916,1.705306,4.720244,6.543389,22.22692,0.16472,0.395138,8.550086,1.612541,0.147221,8.154414,
4.5,42.26567,1.563146,4.943343,6.447354,22.23113,0.149851,0.400706,8.646425,1.592596,0.129766,8.493534,
6,42.24781,1.595893,5.201787,6.294026,22.26686,0.150632,0.391558,8.61981,1.590342,0.148007,8.304663,
7.5,42.30718,1.482143,5.284764,6.400645,22.20499,0.127279,0.35987,8.627909,1.550604,0.113124,8.63686,
9,42.14684,1.49619,5.429677,6.272931,22.12618,0.12808,0.414677,8.575789,1.500699,0.149728,8.443757,
10.5,42.21386,1.456031,5.449361,6.307296,22.13488,0.137454,0.379115,8.479385,1.456975,0.146266,8.498408,
12,42.15899,1.543754,5.440527,6.315439,22.07524,0.151237,0.399792,8.42871,1.502018,0.128429,8.431867,
13.5,42.17904,1.545607,5.552691,6.336529,22.06408,0.150864,0.39284,8.307018,1.529415,0.173067,8.503794,
15,42.06833,1.477688,5.586748,6.309673,22.0413,0.12155,0.373808,8.339489,1.483885,0.116657,8.368814,
16.5,42.15274,1.541734,5.65769,6.287547,21.97167,0.169907,0.365798,8.289143,1.518795,0.167572,8.455198,
18,42.1096,1.426143,5.615162,6.249935,22.07785,0.130594,0.407393,8.339099,1.473546,0.127607,8.394804,
19.5,42.07443,1.532717,5.738283,6.256808,21.91676,0.135463,0.370672,8.199361,1.519027,0.139055,8.441298,
21,41.89389,1.460817,5.625202,6.221248,21.9158,0.14675,0.405993,8.138351,1.495583,0.097924,8.324553,
22.5,42.04349,1.514434,5.75016,6.28254,21.82508,0.140895,0.434374,8.341029,1.465454,0.125512,8.401563,
24,41.93523,1.530078,5.611008,6.221398,21.86427,0.143406,0.392403,8.204753,1.543077,0.103129,8.225125,
25.5,42.07599,1.461451,5.644877,6.299645,21.92699,0.206963,0.394882,8.216248,1.501674,0.065276,8.239068,
27,41.93095,1.443818,5.621771,6.211148,21.96204,0.136941,0.391192,8.148725,1.555951,0.144458,8.401916,
28.5,41.87621,1.48154,5.659228,6.288061,21.78264,0.131283,0.391679,8.262261,1.456986,0.142362,8.442175,
30,42.01493,1.444649,5.732821,6.250325,21.95418,0.134296,0.42674,8.205338,1.501758,0.202101,8.35897,
31.5,42.11692,1.529859,5.751181,6.224151,21.88023,0.152044,0.437794,8.193086,1.502454,0.082339,8.390018,
33,42.09798,1.509908,5.711526,6.281797,21.79788,0.181707,0.396094,8.234152,1.468766,0.146872,8.488416,
34.5,41.85593,1.491083,5.675542,6.156542,21.76345,0.148855,0.415614,8.190981,1.500069,0.144709,8.365244,
36,42.08587,1.471827,5.704834,6.183537,21.9256,0.17687,0.40865,8.262824,1.49498,0.168413,8.442864,
37.5,41.6666,1.473472,5.590759,6.128661,21.64264,0.187028,0.425993,8.310286,1.527266,0.123623,8.423488,
39,41.83847,1.451064,5.586705,6.204697,21.77513,0.165321,0.388845,8.313511,1.455654,0.201452,8.367172,
40.5,41.726,1.533535,5.498563,6.230701,21.74968,0.147535,0.382905,8.386365,1.436013,0.179619,8.474328,
42,41.81374,1.442262,5.389594,6.204462,21.78906,0.147817,0.384316,8.519634,1.535479,0.194074,8.437931,
43.5,41.75678,1.534887,5.084768,6.278136,21.9353,0.14809,0.360351,8.509099,1.548627,0.13221,8.421291,
45,41.47837,1.612062,4.836234,6.326705,21.77526,0.156498,0.422095,8.573795,1.641213,0.154131,8.102198,
46.5,41.9536,1.563086,7.019797,6.163587,21.89492,0.103729,0.433199,7.058293,1.366111,0.184115,7.764103,
48,44.04658,0.176368,24.92453,1.174145,20.38611,-0.006484,0.046687,0.883913,0.138534,0.128694,9.478872,
49.5,41.98997,-0.033482,26.92137,0.263296,18.41694,0.003887,-0.010688,0.289368,0.035315,0.181368,9.525287,
