Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,39.23134,1.983033,6.249987,5.994255,20.71628,0.095673,0.386858,5.799069,1.251849,0.122129,7.136017,
1.5,41.59543,2.22138,2.165903,7.283091,23.24025,0.121234,0.410463,8.518533,1.672021,0.096758,5.451276,
3,42.94985,2.111525,1.922101,7.624638,23.96206,0.111184,0.436911,9.224585,1.901271,0.076652,5.496586,
4.5,43.35075,2.047715,2.067125,7.502462,24.25475,0.152305,0.383347,9.219144,1.846617,0.089811,5.732424,
6,43.21669,1.995281,2.125079,7.517319,24.17339,0.131473,0.38397,9.399712,1.805291,0.143516,5.911014,
7.5,43.39434,2.014687,2.316495,7.409296,24.11901,0.144953,0.341274,9.427842,1.804767,0.124403,6.013461,
9,43.50126,1.997553,2.394202,7.307359,24.21278,0.134732,0.368849,9.450594,1.867028,0.103652,6.0923,
10.5,43.31886,2.067066,2.412771,7.312222,24.16303,0.128845,0.360901,9.424992,1.80066,0.103617,6.067423,
12,43.28229,2.083668,2.42605,7.334015,24.074,0.106312,0.373214,9.462566,1.794801,0.072853,6.050545,
13.5,43.01334,2.010077,2.53266,7.138418,23.88433,0.126532,0.351528,9.509171,1.828793,0.090827,6.134751,
15,43.10064,2.013819,2.547088,7.270701,23.8995,0.120011,0.322295,9.413249,1.75432,0.103308,6.296708,
16.5,43.6673,2.033383,2.58352,7.392655,24.22376,0.099246,0.372278,9.452385,1.76253,0.089108,6.310254,
18,43.54493,2.005868,2.603858,7.268856,24.17593,0.11716,0.387954,9.465465,1.838923,0.048486,6.332131,
19.5,43.29241,2.033763,2.561361,7.228767,24.15666,0.128022,0.358004,9.394794,1.723834,0.127996,6.083704,
21,43.33226,1.996222,2.558681,7.271124,24.12318,0.135631,0.36647,9.326044,1.781972,0.101423,6.140969,
22.5,43.29828,2.045403,2.624522,7.230214,24.04881,0.122503,0.345924,9.246747,1.779506,0.103481,6.291009,
24,43.03622,1.975608,2.590107,7.252666,23.90924,0.088297,0.320286,9.251407,1.781894,0.113814,6.092328,
25.5,43.37948,1.942428,2.662302,7.326656,24.07229,0.13971,0.36006,9.36904,1.722672,0.123308,6.088002,
27,43.29674,2.011606,2.58328,7.29633,24.0368,0.154722,0.36111,9.339599,1.748747,0.132003,6.291462,
28.5,43.37173,2.009413,2.640891,7.376789,24.07372,0.099403,0.363513,9.305057,1.731759,0.165841,6.172464,
30,43.24689,2.084922,2.537814,7.279982,24.05109,0.111444,0.332805,9.310341,1.818246,0.117381,5.943946,
31.5,43.45866,2.126985,2.58735,7.455917,24.15326,0.12748,0.414668,9.248885,1.76011,0.151175,5.963193,
33,43.36396,2.10853,2.473984,7.526199,24.06946,0.126667,0.376168,9.077785,1.800755,0.125395,5.902015,
34.5,43.41306,2.178735,2.31437,7.554949,24.28983,0.113052,0.454499,8.980906,1.789087,0.110754,5.69957,
36,43.65875,2.311668,2.427163,7.789062,24.39162,0.127044,0.443356,8.738307,1.688588,0.141654,5.369133,
37.5,44.11149,2.327813,3.179909,7.991405,24.46394,0.098629,0.503687,8.136584,1.697459,0.160443,5.247167,
39,44.42751,2.12102,6.553948,7.3876,23.97085,0.094085,0.472991,6.442788,1.306333,0.092299,6.073572,
40.5,45.50763,0.51328,21.60328,2.942438,21.16664,0.022152,0.155366,2.006529,0.353178,0.177856,10.69105,
42,42.95277,0.117502,25.93431,0.97672,19.07961,-0.010058,0.055968,0.665588,0.089293,0.101635,9.796227,
43.5,42.46436,0.002836,27.56813,0.332924,18.56093,0.019922,0.024567,0.296177,0.062159,0.077578,9.043301,
