Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.286059,0.364926,0.949791,2.187239,0.00454,0.091671,2.72441,0.598069,0.034253,4.035958,6.57242,
1.5,2.14586,2.302954,6.577797,20.62189,0.074972,0.333906,8.632948,1.542924,0.115666,5.875103,38.35967,
3,2.217479,2.564612,7.232195,23.22685,0.10296,0.410403,9.585481,1.681177,0.115795,6.284706,42.45082,
4.49999999999999,2.219939,2.612213,7.314406,23.39576,0.118908,0.405938,9.582847,1.723025,0.123807,6.413002,42.77688,
6,2.117473,2.659655,7.256672,23.42628,0.10815,0.380579,9.584329,1.665226,0.104056,6.411252,42.67765,
7.5,2.097833,2.66932,7.250891,23.48192,0.119767,0.367096,9.59203,1.729322,0.10001,6.495685,42.80212,
9,2.092888,2.647991,7.256957,23.54184,0.108689,0.373152,9.674842,1.709752,0.101827,6.55648,42.94165,
10.5,2.144905,2.633996,7.175426,23.48991,0.112474,0.351084,9.703103,1.797853,0.117177,6.601618,42.88449,
12,2.136949,2.641572,7.242428,23.50878,0.155593,0.354351,9.756545,1.799401,0.107986,6.548329,43.03267,
13.5,2.174486,2.614116,7.28438,23.49503,0.128897,0.369116,9.761963,1.760663,0.144785,6.542508,43.0062,
15,2.197663,2.52593,7.353565,23.62046,0.107709,0.394378,9.768874,1.713774,0.127082,6.47167,43.07454,
16.5,2.23456,2.511624,7.368903,23.53453,0.129218,0.411014,9.754848,1.780732,0.094484,6.474086,43.04814,
18,2.186066,2.487313,7.36562,23.60728,0.127646,0.361944,9.603699,1.763311,0.128745,6.455223,43.01612,
19.5,2.234287,2.461683,7.426939,23.615,0.133437,0.391197,9.714298,1.757329,0.095891,6.371219,43.12251,
21,2.264345,2.426731,7.419839,23.68411,0.117824,0.384037,9.690869,1.863415,0.120243,6.317976,43.2128,
22.5,2.306835,2.352018,7.503626,23.74682,0.104928,0.375091,9.71969,1.798242,0.10388,6.25295,43.22189,
24,2.283935,2.297889,7.495129,23.74954,0.127399,0.385249,9.691594,1.76082,0.105176,6.279947,43.16011,
25.5,2.298213,2.272107,7.527283,23.833,0.123251,0.401614,9.668972,1.743572,0.091184,6.211576,43.25731,
27,2.316514,2.206466,7.627348,23.85463,0.131417,0.367825,9.742619,1.817223,0.086736,6.17526,43.41102,
28.5,2.357743,2.102562,7.643967,23.95885,0.119692,0.43502,9.635084,1.773158,0.097396,6.020962,43.3714,
30,2.359347,2.031444,7.710175,23.94179,0.134509,0.413832,9.628778,1.768925,0.084165,5.912849,43.38188,
31.5,2.385585,2.000433,7.686333,24.05118,0.140508,0.415979,9.671537,1.850326,0.057366,5.91293,43.46339,
33,2.416688,2.014404,7.776449,24.02529,0.12916,0.410756,9.517811,1.837845,0.039247,5.867465,43.47432,
34.5,2.422317,2.164776,7.747363,23.72966,0.143308,0.46201,9.386663,1.808789,0.097016,5.698563,43.13828,
36,2.388673,2.601787,7.55206,23.4271,0.107925,0.434061,9.185435,1.762917,0.133446,5.640036,42.7098,
37.5,2.337733,3.303457,7.302118,22.92269,0.103312,0.443567,8.782945,1.698939,0.11243,5.782231,42.20419,
39,2.231167,4.790461,6.77087,22.22678,0.104517,0.437643,8.008743,1.606751,0.129335,6.022658,41.56228,
40.5,1.965509,7.592939,5.908484,21.08714,0.098815,0.382499,6.668006,1.352456,0.113302,6.723994,40.78128,
42,1.030145,17.52259,3.460003,20.03868,0.036924,0.224607,3.497272,0.820477,0.166959,9.660057,42.64463,
43.5,0.272183,25.27676,1.298748,19.37549,0.035657,0.079836,1.321524,0.242324,0.127554,9.274977,43.4839,
45,0.044278,27.93483,0.451114,18.90325,-0.006458,0.021514,0.466239,0.075985,0.126591,9.037943,43.33152,
46.5,-0.052724,28.58924,0.202546,18.69566,0.009872,0.008879,0.249445,0.039555,0.111761,8.746139,43.04717,
48,-0.066789,28.46308,0.176128,18.58824,-0.001914,0.014067,0.223166,0.019928,0.108231,8.648922,42.77208,
