Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,41.97836,2.277239,9.156096,6.130272,21.93001,0.137337,0.07476,0.021945,0.374022,4.209157,0.872947,0.081995,7.030623,
1.5,43.27281,2.671558,3.207702,7.807799,24.09767,0.177933,0.08325,0.042957,0.602642,6.995701,1.391705,0.076009,5.460626,
3,43.9807,2.574356,1.960295,8.133632,24.68754,0.210998,0.119895,0.038835,0.607086,8.213083,1.605764,0.074082,5.068943,
4.5,44.12423,2.073437,1.933114,8.080719,24.90151,0.213129,0.110279,0.048342,0.628054,8.508244,1.618095,0.082874,5.139602,
6,44.33323,1.220154,1.983462,8.103069,25.12827,0.240152,0.140324,0.035091,0.638698,8.600833,1.625623,0.070697,5.317864,
7.5,44.54633,1.065298,2.018171,8.195209,25.27711,0.210744,0.128191,0.048089,0.630958,8.735268,1.623053,0.110131,5.337806,
9,44.08506,1.41972,1.962582,8.078688,24.99534,0.225695,0.110269,0.055261,0.634053,8.56658,1.600131,0.095566,5.234515,
10.5,44.14701,2.173727,1.912178,8.134066,24.96706,0.213225,0.118021,0.023838,0.610506,8.295899,1.566884,0.07787,5.066646,
12,44.02066,2.549438,2.292285,8.016061,24.7821,0.203589,0.112466,0.018362,0.629486,7.81958,1.544613,0.091402,5.086051,
13.5,43.80024,2.574637,4.744246,7.446287,24.26473,0.163547,0.1058,0.024276,0.562339,6.259589,1.235036,0.066136,5.804292,
15,44.06389,1.830304,13.26927,5.126177,22.6804,0.097988,0.05447,0.023816,0.365779,2.923864,0.587211,0.118114,8.238235,
16.5,43.32971,0.150659,27.01601,0.583004,19.39225,0.008753,0.009936,0.020162,0.006221,0.348277,0.031341,0.116424,8.897535,
