Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.21145,26.35393,0.924582,19.51815,0.024802,0.03905,0.010633,0.453178,0.123627,0.12067,8.762838,43.44773,
1.5,1.780781,11.22074,6.240369,22.60966,0.042545,0.304545,0.087851,4.116212,1.111851,0.125343,7.435753,44.03954,
3,2.30501,4.43388,8.470134,24.55931,0.120453,0.521509,0.149728,7.51464,1.973408,0.080943,5.627367,45.4723,
4.5,2.545545,2.899212,9.347138,26.43041,0.125244,0.604164,0.156116,9.219213,2.389573,0.073654,5.212707,48.32125,
6,2.809067,3.143441,9.932179,28.16309,0.140274,0.673756,0.142508,9.743029,2.436204,0.090056,5.511572,51.427,
7.5,2.861566,3.543407,10.11031,29.08619,0.106008,0.659498,0.164277,9.8999,2.495538,0.093938,5.795862,53.06196,
9,2.781006,3.729712,9.936061,28.72359,0.100377,0.658058,0.134456,9.889055,2.446138,0.075237,5.93935,52.56501,
10.5,2.527315,3.638502,9.332386,27.57778,0.126989,0.65398,0.135107,9.963371,2.419667,0.0671,5.95309,50.62797,
12,2.193893,3.419026,8.63238,25.66368,0.120609,0.616903,0.132396,9.752173,2.371294,0.07447,6.033091,47.46592,
13.5,1.968797,3.254008,8.051126,24.26247,0.090437,0.568621,0.109127,9.626292,2.342462,0.109156,6.047795,45.04966,
15,1.877483,3.165529,7.817349,23.4853,0.095982,0.552036,0.156677,9.470848,2.329083,0.120839,6.14352,43.86554,
16.5,1.886971,3.115575,7.630739,23.21474,0.120245,0.566507,0.126872,9.468817,2.344789,0.09936,6.096425,43.3531,
18,1.84396,3.093494,7.610586,23.20269,0.080456,0.560845,0.126881,9.50123,2.344417,0.124016,6.113039,43.25842,
19.5,1.845822,3.025613,7.655524,23.10576,0.08674,0.540029,0.119317,9.528359,2.322375,0.079694,6.068122,43.15308,
21,1.854762,2.932438,7.667758,23.00721,0.124415,0.574772,0.123261,9.432333,2.324838,0.088449,5.851762,42.906,
22.5,1.878356,2.831237,7.789258,23.21213,0.123311,0.57537,0.148096,9.328868,2.37164,0.112925,5.850087,43.20552,
24,2.013024,2.574559,7.9603,23.22028,0.112641,0.59339,0.138952,9.289754,2.35039,0.089381,5.512349,43.08609,
25.5,2.114497,2.67051,8.163765,23.32314,0.091801,0.517282,0.138184,8.784067,2.310494,0.051414,5.282328,43.15199,
27,2.180739,5.077793,7.765433,22.72653,0.063922,0.460944,0.119868,6.81742,1.819427,0.107228,5.798255,42.71419,
28.5,0.92029,18.93202,3.591647,20.43796,0.014284,0.134771,0.047528,1.804106,0.561781,0.136835,9.017091,43.09748,
30,-0.010434,28.00061,0.348508,18.54562,-0.000969,0.023258,0.005566,0.267677,0.052309,0.152119,7.651374,42.35912,
31.5,-0.051758,28.79275,0.2119,18.65354,0.021419,0.029423,-0.011318,0.191162,0.036474,0.070556,7.482918,42.80207,
