Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.000393,28.09598,0.407975,18.94941,-0.032196,-0.002949,0.011496,0.006223,0.323599,0.042899,0.113191,8.882382,43.24236,
1,0.244911,25.28382,1.447205,19.32753,0.025796,0.01649,0.008207,0.049861,1.060862,0.179734,0.141275,9.610291,43.48927,
2,1.406871,7.829125,6.144092,20.40855,0.085373,0.113613,0.044246,0.455647,6.130124,1.245769,0.121756,6.145459,39.81385,
3,1.752132,3.099519,7.717154,22.24129,0.126915,0.118154,0.063283,0.576316,8.581702,1.647864,0.092622,4.628189,41.25307,
4,1.808233,1.830967,8.564644,23.56986,0.119433,0.13968,0.063963,0.551682,9.352231,1.889558,0.081495,4.386547,43.09483,
5,1.840468,1.68791,8.780685,24.13724,0.1222,0.142206,0.059916,0.586575,9.622385,1.889306,0.025651,4.343154,43.93476,
6,1.839482,1.734245,8.860272,24.266,0.131058,0.166416,0.060389,0.589456,9.722282,1.853105,0.09498,4.389917,44.28359,
7,1.821962,1.794082,8.853232,24.47206,0.105793,0.153045,0.042026,0.567373,9.667739,1.839124,0.050147,4.488626,44.46756,
8,1.777275,1.815671,8.832184,24.41054,0.12081,0.158269,0.043603,0.517483,9.677691,1.834147,0.088825,4.497316,44.38143,
9,1.802151,1.886969,8.7888,24.44406,0.081081,0.150352,0.050027,0.570243,9.701294,1.818825,0.075188,4.550488,44.43609,
10,1.751742,1.914021,8.806805,24.3788,0.100124,0.147242,0.040814,0.514879,9.802524,1.842144,0.074015,4.638606,44.48236,
11,1.733224,1.941097,8.732753,24.33456,0.126065,0.100139,0.055813,0.538138,9.786768,1.853585,0.055481,4.701094,44.33093,
12,1.728729,1.961435,8.694062,24.27179,0.141857,0.115515,0.062011,0.542661,9.747126,1.813402,0.079019,4.706479,44.26747,
13,1.720694,2.006133,8.685349,24.39405,0.132598,0.134219,0.057752,0.534735,9.756302,1.814155,0.138246,4.745854,44.44954,
14,1.708558,2.057132,8.679837,24.25387,0.135936,0.145881,0.09049,0.541813,9.778198,1.794681,0.079187,4.733439,44.28416,
15,1.699577,2.02979,8.711246,24.26989,0.122772,0.119547,0.043101,0.517448,9.776095,1.826378,0.091462,4.770774,44.32243,
16,1.705338,2.064834,8.681761,24.22617,0.141795,0.170187,0.049124,0.527191,9.812713,1.838347,0.054528,4.758305,44.33747,
17,1.69467,2.100999,8.684125,24.3034,0.117504,0.13226,0.068219,0.535503,9.816195,1.837921,0.088421,4.826213,44.43992,
18,1.671972,2.07119,8.660928,24.30214,0.138274,0.149383,0.034331,0.526556,9.908296,1.83945,0.061579,4.757216,44.39133,
19,1.702762,2.105627,8.667051,24.39751,0.119813,0.154866,0.059964,0.545384,9.78701,1.832263,0.057295,4.818381,44.50973,
20,1.696013,2.092523,8.715784,24.42383,0.13201,0.130035,0.058455,0.555343,9.830735,1.800844,0.096486,4.862592,44.60966,
21,1.732191,2.119165,8.747486,24.3448,0.117201,0.147372,0.079718,0.515304,9.818703,1.827035,0.055217,4.800467,44.52799,
22,1.712419,2.061817,8.753922,24.39913,0.112213,0.13766,0.042189,0.539304,9.832833,1.861232,0.114939,4.778644,44.57559,
23,1.753418,2.079462,8.759793,24.32379,0.138528,0.134507,0.044648,0.528957,9.770716,1.776146,0.10427,4.830479,44.48831,
24,1.730224,2.048595,8.731017,24.28348,0.123272,0.138289,0.041466,0.505506,9.762211,1.81031,0.094054,4.833457,44.39196,
25,1.78627,2.013561,8.74909,24.25147,0.146636,0.117352,0.038119,0.544806,9.764077,1.859139,0.063048,4.673972,44.34644,
26,1.762504,1.908634,8.826063,24.40239,0.097624,0.146956,0.058937,0.551649,9.633081,1.857352,0.07909,4.688026,44.42731,
27,1.752773,1.903255,8.904663,24.40485,0.102168,0.105945,0.042096,0.542868,9.570726,1.819837,0.046552,4.586108,44.35714,
28,1.834843,1.856648,9.001801,24.53312,0.132366,0.13012,0.049044,0.590805,9.618293,1.805423,0.064493,4.422362,44.64582,
29,1.88704,2.176317,8.984472,24.63748,0.118309,0.134537,0.047773,0.589975,9.47681,1.781689,0.062656,4.293376,44.89065,
30,1.72197,3.989697,8.809718,24.33551,0.120978,0.121376,0.068171,0.60242,8.688511,1.714147,0.045419,4.49929,45.2027,
31,0.721522,19.17539,4.85143,23.20873,0.04691,0.037062,0.006486,0.284429,3.911724,0.729807,0.078399,8.728333,48.50304,
