Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.333464,11.56396,7.313658,12.88478,0.061678,0.112608,3.699117,1.069669,0.12173,12.13369,40.58884,
1,0.567369,6.905446,9.045142,12.72828,0.109117,0.123114,4.50799,1.264314,0.090132,12.03,40.30871,
2,0.875429,4.761499,8.362217,17.44857,0.30426,0.18449,6.366082,1.392405,0.091094,7.880095,40.19093,
3,0.334628,2.444193,2.65487,8.899414,0.11267,0.178816,4.67053,0.865097,0.069848,4.725403,18.52942,
4,0.73108,5.045109,3.363517,9.972219,0.123098,0.132492,3.190029,0.55427,0.030504,3.108019,24.80943,
5,1.042758,6.472187,5.030914,16.89203,0.114145,0.170424,5.901763,1.125082,0.090057,4.740189,33.17275,
6,0.359181,21.0033,2.387302,19.07152,0.033693,0.086003,2.707897,0.483386,0.10849,8.245749,41.78204,
7,0.109929,26.88189,0.785857,18.86414,0.014205,-0.006404,0.725078,0.111802,0.124477,8.696063,42.96154,
8,0.006562,28.34652,0.315085,18.6796,-0.008012,-0.009912,0.264401,0.046739,0.170171,8.796458,42.98173,
9,-0.021332,28.43786,0.200776,18.58914,0.000451,0.008241,0.188258,0.003544,0.092867,8.662749,42.73126,
