Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.001643,26.7547,0.25875,18.93691,0.010155,0.270598,0.027799,0.115379,10.05431,42.5502,
1,0.311279,23.5534,1.381837,19.58819,0.069266,0.709783,0.13929,0.142687,10.3599,42.63911,
2,0.649477,20.26114,2.537694,20.00105,0.125032,1.323932,0.248494,0.151371,9.844093,42.25053,
3,1.302169,18.35092,3.190383,20.21186,0.190314,1.690082,0.359648,0.126695,9.741052,42.26464,
4,1.001984,17.43672,3.552961,20.38284,0.236023,1.971722,0.393321,0.143415,9.653284,42.16744,
5,0.759977,17.63246,3.410768,19.94222,0.238715,1.939636,0.373057,0.126911,9.696651,41.58072,
6,0.468402,19.17362,2.845668,19.49021,0.173352,1.558411,0.293397,0.14698,9.897305,41.30428,
7,0.108573,22.23188,1.771126,18.95525,0.124537,0.902831,0.194182,0.157013,10.29452,41.39849,
8,-0.005781,26.90917,0.378428,18.74861,0.024056,0.275015,0.006215,0.127408,10.51476,42.67597,
9,-0.026329,27.91463,0.201097,18.69987,-0.005803,0.217351,0.021922,0.11098,9.799859,42.86478,
10,-0.061921,28.42167,0.128679,18.84313,0.004188,0.225765,0.000918,0.14794,9.197338,43.10661,
