Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,1.648002,7.356087,6.888399,22.64707,0.159847,0.33925,8.096909,1.546731,0.114776,7.251717,44.09933,
1.5,1.708884,6.033803,6.933845,22.61933,0.144065,0.339714,8.498902,1.541378,0.148194,7.499427,43.52148,
3,1.689777,6.294108,6.849535,22.56925,0.173562,0.30752,8.412957,1.525566,0.123194,7.373078,43.44799,
4.5,1.641906,6.401376,6.839613,22.50156,0.139464,0.308342,8.392933,1.523402,0.09905,7.389839,43.4351,
6,1.648235,6.426489,6.778909,22.63734,0.155802,0.319287,8.275068,1.523472,0.135647,7.255899,43.46909,
7.5,1.604276,6.508733,6.865965,22.47454,0.126502,0.344535,8.290787,1.468933,0.092092,7.326892,43.32494,
9,1.650436,6.490878,6.86897,22.65021,0.137219,0.333522,8.256889,1.552314,0.11162,7.162424,43.57969,
10.5,1.658183,6.484041,6.877624,22.60779,0.12783,0.320109,8.191622,1.524855,0.116473,7.206378,43.47539,
12,1.662493,6.486078,6.931215,22.61048,0.171952,0.325397,8.267593,1.552779,0.083918,7.245288,43.63084,
13.5,1.713846,6.492031,6.875182,22.61876,0.159643,0.365747,8.281004,1.485735,0.104069,7.140818,43.65812,
15,1.702386,6.620277,6.881212,22.63969,0.186126,0.326634,8.173655,1.540409,0.108424,7.153332,43.63874,
16.5,1.633473,6.557644,6.943382,22.67274,0.154188,0.318352,8.183718,1.551381,0.134447,7.081538,43.6539,
18,1.700221,6.478753,6.957608,22.63891,0.175164,0.32482,8.219416,1.530262,0.098963,7.128277,43.6419,
19.5,1.689307,6.527557,6.954505,22.51893,0.15634,0.349335,8.193529,1.505279,0.122212,7.038509,43.48536,
21,1.603704,6.561446,6.893036,22.70181,0.181608,0.332311,8.262868,1.529588,0.118595,7.037769,43.68858,
22.5,1.697598,6.54961,6.954434,22.61053,0.193654,0.337079,8.14452,1.52057,0.08697,7.003302,43.57856,
24,1.640252,6.535932,6.939949,22.58488,0.142735,0.329218,8.174073,1.485987,0.122019,6.918167,43.48737,
25.5,1.693778,6.528333,6.992257,22.54891,0.185395,0.327292,8.154823,1.497486,0.088945,7.037102,43.55764,
27,1.655613,6.578256,6.974134,22.72933,0.188696,0.383089,8.223249,1.548687,0.077813,6.941727,43.75437,
28.5,1.702306,6.506386,6.94527,22.62554,0.176027,0.338856,8.234849,1.532503,0.117074,6.960559,43.62123,
30,1.670254,6.568509,6.947321,22.57088,0.182267,0.332083,8.192732,1.493753,0.123621,7.007665,43.52029,
31.5,1.706083,6.591076,6.982594,22.62725,0.155142,0.348641,8.170807,1.579571,0.089404,6.920981,43.61171,
33,1.679956,6.577653,6.888803,22.6201,0.165468,0.324752,8.21621,1.508184,0.121221,6.910615,43.51706,
34.5,1.689607,6.519873,6.934089,22.57467,0.183472,0.329715,8.151801,1.523913,0.128318,6.978425,43.49174,
36,1.623572,6.52204,6.954438,22.59235,0.1782,0.341928,8.184554,1.512362,0.094853,6.875842,43.43026,
37.5,1.666035,6.563102,6.894795,22.63696,0.154732,0.337042,8.186096,1.534692,0.115984,6.964518,43.47055,
39,1.660771,6.575408,6.876646,22.65573,0.176994,0.352839,8.270909,1.557402,0.072975,7.05962,43.68798,
40.5,1.617747,6.442134,6.920898,22.52983,0.175471,0.320642,8.334347,1.571337,0.129565,7.111409,43.45733,
42,1.679108,6.53015,6.887467,22.58557,0.164758,0.331001,8.269817,1.537372,0.126574,7.146093,43.54428,
43.5,1.634384,6.435352,6.944311,22.52355,0.151182,0.318695,8.311502,1.504265,0.078831,7.083968,43.3577,
45,1.639802,6.433401,6.842001,22.55693,0.157526,0.309904,8.350888,1.529069,0.096288,7.14305,43.38433,
46.5,1.682738,6.228568,6.858719,22.49559,0.1513,0.284095,8.391273,1.581378,0.113091,7.176059,43.33608,
48,1.649957,6.196192,6.777081,22.23916,0.165084,0.325916,8.395644,1.558469,0.101203,7.246777,42.89001,
49.5,1.741253,7.169639,6.183507,21.18853,0.151147,0.341416,8.139167,1.580727,0.081527,7.154208,41.74709,
51,0.445323,21.74133,2.28511,19.67204,0.051069,0.173841,3.866066,0.743532,0.121383,6.894938,43.15768,
