Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,43.17518,1.594498,8.18965,6.942288,22.73725,0.093742,0.237292,5.047858,0.910243,0.147653,7.905976,
1.5,43.59981,1.808213,2.833458,8.445508,24.02786,0.150746,0.359659,8.068725,1.445593,0.124135,5.545154,
3,43.89232,1.873439,1.697812,8.717236,24.38129,0.140807,0.384189,9.28944,1.621968,0.076614,4.874029,
4.5,43.90372,1.797362,1.664558,8.710608,24.27705,0.161315,0.37895,9.596903,1.663939,0.060193,4.955798,
6,43.97633,1.758806,1.744619,8.639717,24.32168,0.145908,0.373071,9.670558,1.642949,0.075674,5.087842,
7.5,43.81166,1.711515,1.746194,8.629331,24.16592,0.151723,0.349008,9.710246,1.646615,0.109589,5.167118,
9,43.73137,1.76165,1.794201,8.522145,24.17725,0.158027,0.376211,9.639826,1.658783,0.105263,5.079453,
10.5,43.78993,1.724381,1.806322,8.559749,24.15058,0.15367,0.373307,9.736993,1.632215,0.091496,5.179119,
12,43.72822,1.683795,1.814806,8.482702,24.12318,0.159562,0.378354,9.755217,1.631762,0.11696,5.130033,
13.5,43.64709,1.732542,1.782936,8.523002,24.05562,0.173078,0.348173,9.684617,1.612487,0.137247,5.171884,
15,43.56483,1.612762,1.771096,8.494967,24.04741,0.156075,0.347765,9.700627,1.646648,0.074498,5.194651,
16.5,43.65971,1.695139,1.748076,8.503515,24.12311,0.178804,0.369625,9.729267,1.640369,0.115881,5.14575,
18,43.66906,1.773325,1.763154,8.535737,24.13403,0.173246,0.342721,9.716461,1.609525,0.063052,5.01993,
19.5,43.86593,1.79926,1.71788,8.702531,24.24002,0.151582,0.372285,9.614973,1.703389,0.085183,5.031,
21,43.91756,1.907947,1.68139,8.785385,24.29762,0.152885,0.407927,9.410069,1.656778,0.124713,4.885674,
22.5,43.39922,1.877885,2.718366,8.45088,23.9451,0.153634,0.375051,8.336975,1.500156,0.083083,5.256582,
24,42.4617,1.444808,9.25309,6.576491,21.89426,0.096465,0.221742,4.656209,0.825926,0.087954,8.374831,
25.5,42.12886,0.077497,25.62812,0.751996,18.55522,0.025791,0.001821,0.462095,0.042996,0.142209,10.6192,
27,42.44391,-0.036894,27.59325,0.222922,18.51462,0.007994,0.0048,0.235793,0.005591,0.110228,9.483206,
