Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.650638,0.973792,5.109931,14.96523,-0.013395,0.299795,8.48771,1.519886,0.102179,4.713961,28.38443,
1.5,1.661001,1.734103,8.240317,23.18271,0.128678,0.34058,9.557931,1.656432,0.071845,5.024697,42.16095,
3,1.761173,1.762471,8.479788,23.87764,0.122704,0.355729,9.717892,1.592482,0.104209,5.096712,43.29144,
4.5,1.707559,1.791152,8.514679,24.05424,0.157243,0.356677,9.71094,1.658944,0.066509,5.127714,43.63133,
6,1.739244,1.769852,8.545651,24.06705,0.142272,0.377314,9.795022,1.647748,0.132247,5.145514,43.68263,
7.5,1.758094,1.810501,8.493279,24.17386,0.139415,0.376192,9.791082,1.663878,0.077686,5.231565,43.7341,
9,1.755519,1.787038,8.507557,24.10999,0.14777,0.353567,9.787633,1.669172,0.129282,5.209257,43.7162,
10.5,1.709411,1.753285,8.546074,24.23486,0.135621,0.335576,9.822013,1.670292,0.071464,5.154007,43.76409,
12,1.74983,1.761932,8.577813,24.39285,0.163781,0.381961,9.727066,1.657941,0.081655,5.281121,44.09444,
13.5,1.717386,1.769264,8.588926,24.3295,0.176673,0.34819,9.682121,1.641351,0.087765,5.119027,43.97607,
15,1.704481,1.744216,8.720342,24.42263,0.137081,0.341855,9.657468,1.676024,0.121771,5.081129,44.10651,
16.5,1.763209,1.635671,8.727751,24.51749,0.151703,0.366983,9.720549,1.64731,0.074163,4.940447,44.14939,
18,1.822054,1.586506,8.730427,24.44335,0.154095,0.38906,9.538771,1.67708,0.107689,4.812948,43.94073,
19.5,1.839218,1.552363,8.703527,24.18259,0.168652,0.370414,9.374044,1.655696,0.091818,4.69566,43.53105,
21,1.810827,2.062955,8.317015,23.23569,0.121561,0.398664,8.840219,1.632785,0.080492,4.903493,42.20469,
22.5,1.479384,6.147468,6.604901,20.80982,0.109121,0.321645,6.268813,1.125541,0.091361,6.799559,39.69846,
24,0.199677,25.04076,1.135564,18.85745,-0.013455,0.023832,0.734771,0.109029,0.152438,10.6947,42.59127,
25.5,-0.010462,27.71717,0.320369,18.60316,0.006782,0.007273,0.243078,0.009159,0.169373,9.483775,42.67603,
27,-0.020464,28.06762,0.254615,18.6265,0.000648,0.017263,0.243635,-0.004372,0.124023,9.494968,42.92165,
