Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,1.725236,3.67194,6.904002,21.78621,0.122672,0.264225,7.892558,1.474704,0.103187,4.843392,39.83981,
1.5,1.850837,1.762249,8.285213,24.48104,0.137806,0.264397,8.996643,1.573771,0.107182,4.884085,43.4227,
3,1.847855,1.560247,8.474206,25.03552,0.146351,0.288433,9.097241,1.636375,0.066097,4.911189,44.23213,
4.5,1.677691,2.34552,8.582982,24.64127,0.148784,0.308678,9.933834,1.616603,0.101598,5.416821,44.84486,
6,1.56623,2.339061,8.347981,24.77815,0.138741,0.337963,10.05286,1.623077,0.036063,5.557028,44.8112,
7.5,1.456924,2.077604,8.194612,24.45146,0.145064,0.324767,9.678039,1.579706,0.079852,5.094938,43.77849,
9,1.448757,1.814647,8.064306,24.31665,0.145008,0.305226,9.245059,1.612854,0.06457,5.156612,43.14313,
10.5,1.462682,2.396956,8.204219,24.40462,0.121962,0.29951,9.696451,1.618215,0.090971,5.484516,44.00449,
12,1.643471,2.061697,8.09458,24.44092,0.157008,0.263793,9.409635,1.612268,0.105491,5.476435,43.72979,
13.5,1.742373,1.956832,8.119642,24.46038,0.129945,0.276074,9.220895,1.601267,0.088683,5.381728,43.64394,
15,1.671254,2.141822,8.197232,24.5215,0.125792,0.266995,9.517241,1.606643,0.076799,5.402394,43.95668,
16.5,1.643038,2.116217,8.127486,24.33007,0.139108,0.242733,9.536036,1.620644,0.113319,5.315058,43.69104,
18,1.645971,2.198055,8.143512,24.56088,0.13649,0.274304,9.553295,1.558581,0.089051,5.383282,43.94824,
19.5,1.584417,2.233272,8.232402,24.48143,0.155622,0.255378,9.53926,1.588882,0.095189,5.382164,43.99573,
21,1.672598,2.170066,8.238883,24.49176,0.143027,0.280446,9.502782,1.609329,0.09876,5.323876,43.98195,
22.5,1.612486,2.175015,8.208149,24.63784,0.16391,0.303311,9.4964,1.594603,0.088267,5.198807,44.05628,
24,1.604434,2.133946,8.301494,24.62877,0.153107,0.276533,9.525876,1.586339,0.089283,5.236387,44.14222,
25.5,1.674125,2.035171,8.342079,24.65847,0.126947,0.319208,9.526326,1.567214,0.09927,5.195086,44.08835,
27,1.745269,2.029533,8.398942,24.75271,0.120851,0.30227,9.460199,1.56409,0.063443,5.153449,44.21465,
28.5,1.721386,1.944299,8.476604,24.82267,0.13703,0.333505,9.349685,1.591117,0.058816,4.949963,44.28253,
30,1.828216,1.83591,8.693081,24.94972,0.134343,0.292064,9.238376,1.57056,0.060461,4.772335,44.46824,
31.5,1.854585,2.479566,8.716486,24.99746,0.127469,0.358859,8.796741,1.552521,0.136568,4.460141,44.72551,
33,0.982232,17.38465,5.339698,23.91441,0.049818,0.205442,4.110635,0.744336,0.110096,9.470192,48.79812,
34.5,0.031662,27.42111,0.610378,19.55566,0.026002,0.008538,0.436584,0.064811,0.114535,9.3939,43.93682,
