Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,-0.06089,27.60544,0.291983,18.5922,0.021353,0.02247,0.005756,0.398878,0.066897,0.12557,9.550595,42.76542,
1,0.094461,25.79651,0.857148,18.84689,0.001536,0.079752,0.043344,1.249359,0.22265,0.131173,10.48838,43.14405,
2,0.5736,17.47126,3.200109,19.4296,0.020567,0.366702,0.124778,4.87281,0.854375,0.176717,10.03633,42.35992,
3,1.725653,3.325655,7.026088,20.91317,0.091154,0.803482,0.295414,10.00776,1.853639,0.108282,5.281497,40.03479,
4,1.865305,1.765195,7.868747,22.50984,0.071094,0.846556,0.266617,10.70381,1.883291,0.098371,5.144393,41.86382,
5,1.869563,1.447827,8.183794,23.16862,0.077298,0.878867,0.285576,11.00408,1.854996,0.06114,5.392105,42.82053,
6,1.851153,1.494174,8.171341,23.27073,0.102145,0.851832,0.26286,10.97786,1.907456,0.094206,5.433506,43.02225,
7,1.781087,1.565587,8.117273,23.24398,0.087413,0.890231,0.279499,11.07504,1.903888,0.092617,5.607671,43.03803,
8,1.784047,1.606619,8.038929,23.35979,0.075161,0.869825,0.279248,11.12058,1.893082,0.103799,5.684212,43.06278,
9,1.794773,1.624188,8.06195,23.18444,0.089077,0.876237,0.242982,11.09805,1.871909,0.079657,5.812595,42.96663,
10,1.705384,1.692418,7.903028,23.2137,0.063705,0.882641,0.238151,11.0921,1.871897,0.102661,5.70358,42.81317,
11,1.701808,1.67319,7.809051,23.02627,0.073289,0.885481,0.243666,11.13687,1.909242,0.080028,5.78631,42.57283,
12,1.684763,1.752647,7.840579,23.03621,0.091752,0.885159,0.226104,11.17206,1.903835,0.111193,5.9159,42.75952,
13,1.701446,1.820148,7.866995,23.21526,0.071342,0.871558,0.244569,11.19759,1.899471,0.15522,5.927868,43.02971,
14,1.74596,1.7773,7.866944,23.27219,0.073295,0.867951,0.233105,11.2173,1.902152,0.078523,5.939008,43.06528,
15,1.675526,1.808622,7.930568,23.26495,0.078395,0.870962,0.242879,11.31407,1.891764,0.095624,6.02556,43.17119,
16,1.554945,1.854352,7.82241,23.14253,0.074757,0.860899,0.236558,11.28246,1.84643,0.128166,6.006925,42.88416,
17,1.515945,1.865718,7.797909,23.20394,0.070526,0.869802,0.267142,11.36999,1.887308,0.125515,6.031836,42.94289,
18,1.349168,1.869735,7.834463,23.16189,0.094149,0.862227,0.240308,11.37556,1.905083,0.081539,6.094903,42.93951,
19,1.343777,1.89951,7.825115,23.25905,0.085506,0.867552,0.222913,11.3203,1.850204,0.079787,6.093319,43.04454,
20,1.497962,1.917345,7.894442,23.18576,0.070527,0.874598,0.256091,11.26422,1.939544,0.110273,5.95101,43.03665,
21,1.604538,1.862054,7.817388,23.33145,0.083072,0.892916,0.245476,11.2496,1.929871,0.099291,6.008541,43.13789,
22,1.597459,1.864822,7.876701,23.18061,0.064944,0.826917,0.249129,11.23198,1.854705,0.11384,6.000324,42.97392,
23,1.64835,1.850524,7.881411,23.18567,0.101052,0.866432,0.240993,11.25412,1.830319,0.094243,5.946842,42.96806,
24,1.663127,1.877009,7.862247,23.1249,0.100177,0.890811,0.229582,11.2149,1.888785,0.102886,5.904333,42.90964,
25,1.661874,1.894123,7.855989,23.25002,0.076931,0.853519,0.244205,11.26656,1.889883,0.10277,6.019326,43.08252,
26,1.633137,1.890379,7.849599,23.25852,0.075169,0.854578,0.250411,11.32048,1.863381,0.10941,5.90035,43.12655,
27,1.628026,1.840925,7.824927,23.21007,0.087453,0.850344,0.249817,11.19533,1.865123,0.0732,5.916103,42.89492,
28,1.714853,1.830329,7.915977,23.16907,0.10328,0.867937,0.26237,11.19554,1.87536,0.107451,5.978663,43.02277,
29,1.663259,1.83253,7.901291,23.20889,0.073437,0.857294,0.246199,11.20599,1.899932,0.114941,6.007432,42.97458,
30,1.74067,1.824788,7.927241,23.1837,0.097004,0.886451,0.254622,11.1157,1.871191,0.078705,5.974899,43.01448,
31,1.693658,1.829842,7.895234,23.13235,0.088707,0.881042,0.252517,11.27927,1.877893,0.066404,5.915061,42.97152,
32,1.766192,1.768236,7.907491,23.19523,0.056861,0.860017,0.24275,11.18791,1.889104,0.127067,5.82688,42.93123,
33,1.743512,1.729157,7.974301,23.33257,0.064542,0.880117,0.219345,11.13824,1.857248,0.121163,5.829377,43.1619,
34,1.782333,1.760789,8.039227,23.23315,0.089753,0.871716,0.275317,11.19001,1.895811,0.133373,5.781472,43.14074,
35,1.768726,1.727407,8.062729,23.37847,0.080826,0.85598,0.257456,11.2056,1.906554,0.120886,5.812474,43.3147,
36,1.78265,1.676728,8.115548,23.35034,0.097419,0.869788,0.236358,11.1485,1.904368,0.088909,5.697027,43.1817,
37,1.796137,1.616032,8.1578,23.43998,0.080844,0.881667,0.268688,11.01302,1.884374,0.106461,5.64031,43.26868,
38,1.844013,1.603552,8.298695,23.44718,0.061725,0.865661,0.288427,11.00821,1.917939,0.105731,5.658765,43.4037,
39,1.833997,1.589864,8.228656,23.4908,0.100461,0.880593,0.252704,10.99182,1.891097,0.106479,5.505548,43.31818,
40,1.846418,2.225024,8.32421,23.4493,0.075028,0.866711,0.283864,10.73752,1.833845,0.083199,5.296767,43.5611,
41,1.7244,4.904794,7.855059,23.07365,0.079326,0.753573,0.255995,9.543225,1.671242,0.105984,5.900944,44.05312,
42,0.369411,21.67022,3.176295,21.14602,-0.003701,0.237571,0.093595,3.117442,0.532196,0.142088,9.86438,45.86586,
