Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,42.2935,1.765312,4.149572,6.917579,22.22575,1.467969,0.091906,9.852699,1.700106,0.1554,7.83873,
1.5,41.90981,1.69251,2.583483,6.898298,22.31414,1.662169,0.0877,11.05042,1.927977,0.153657,7.830449,
3,41.6374,1.600052,2.6861,6.692611,22.08472,1.605308,0.086674,11.13217,1.874143,0.13698,8.254618,
4.5,41.67588,1.547965,2.910584,6.533565,22.04399,1.639679,0.06042,11.18454,1.911892,0.095723,8.506627,
6,41.50574,1.444247,2.953561,6.393125,21.94857,1.592962,0.07995,11.18761,1.957535,0.169345,8.673441,
7.5,41.51255,1.438302,3.109118,6.340628,21.91305,1.636169,0.092645,11.18796,1.882469,0.138449,8.822406,
9,41.37601,1.441639,3.169135,6.223898,21.83299,1.606619,0.045641,11.17752,1.880518,0.156182,8.8564,
10.5,41.54526,1.463948,3.248759,6.192053,21.93793,1.583494,0.055573,11.1539,1.892932,0.14582,9.029271,
12,41.3942,1.433748,3.261148,6.169331,21.79239,1.591496,0.074178,11.10801,1.905668,0.171354,9.026261,
13.5,41.23179,1.376383,3.235693,6.147027,21.70329,1.577284,0.081,11.12765,1.862689,0.170165,9.031115,
15,41.28091,1.429684,3.251945,6.164083,21.67523,1.6064,0.079007,11.15181,1.858932,0.169183,9.089762,
16.5,41.45232,1.413703,3.248677,6.214428,21.77442,1.573094,0.088915,11.20898,1.873405,0.174768,9.133028,
18,41.26164,1.414722,3.21162,6.16837,21.70842,1.566412,0.07765,11.22292,1.903415,0.177328,8.914208,
19.5,41.26314,1.409087,3.131067,6.245858,21.74629,1.604499,0.069901,11.18093,1.874488,0.150811,8.904302,
21,41.33462,1.450634,3.005214,6.309367,21.86567,1.603659,0.068648,11.15348,1.876945,0.125855,8.770106,
22.5,41.58048,1.512467,2.909809,6.537896,21.92582,1.623444,0.095296,11.14599,1.925327,0.160332,8.593755,
24,41.69907,1.657924,2.710696,6.693979,22.09723,1.610137,0.074001,11.18579,1.929408,0.127076,8.245271,
25.5,41.7159,1.701275,2.770936,6.993826,22.02271,1.611558,0.094323,10.89103,1.887769,0.104294,7.839517,
27,40.40211,1.579499,6.995573,6.035155,20.35722,1.201223,0.075467,7.907587,1.359093,0.151465,8.778708,
28.5,42.45628,0.100305,25.88604,0.713406,18.64517,0.076784,0.002197,0.758251,0.094343,0.156472,10.57344,
