Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,44.53888,0.206075,24.97999,1.038766,20.72137,-0.00806,0.022202,0.710312,0.091862,0.172361,10.60141,
1.5,43.01213,1.757373,7.613808,6.080405,22.8812,0.107825,0.249265,6.239695,1.005243,0.056449,8.610849,
3,42.82239,1.949208,2.989014,7.036653,23.32596,0.158118,0.361509,9.400827,1.517025,0.154603,7.289893,
4.5,42.71779,1.852349,2.380507,7.031661,23.32161,0.144664,0.340245,10.33608,1.582661,0.127121,7.357739,
6,43.06635,1.751643,2.503053,6.967411,23.37741,0.169649,0.326907,10.59444,1.583686,0.144447,7.541867,
7.5,43.15336,1.785925,2.621508,6.931636,23.38335,0.163685,0.28633,10.56159,1.612019,0.148339,7.73405,
9,42.74805,1.783811,2.538351,6.885431,23.16365,0.176289,0.301917,10.54479,1.576632,0.117822,7.635849,
10.5,41.7869,1.618569,2.427136,6.672302,22.58735,0.154591,0.306095,10.49409,1.593744,0.124541,7.643638,
12,42.57561,1.693975,2.499612,6.865388,23.08445,0.17865,0.316988,10.46332,1.656552,0.12242,7.636596,
13.5,42.62707,1.805682,2.396664,7.011867,23.12027,0.173603,0.316311,10.42542,1.621787,0.106169,7.538561,
15,41.2424,1.878938,3.095754,6.671087,22.06431,0.154032,0.35273,9.62012,1.56755,0.115868,7.48421,
16.5,39.87883,1.32667,11.23681,4.6234,19.59286,0.09893,0.225019,4.944249,0.837819,0.140685,9.475504,
