Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,39.27158,1.556712,6.158381,5.828233,20.35266,0.102478,0.094049,0.030318,0.804415,6.497482,1.770929,0.097956,7.10321,
1.5,41.4534,1.60509,3.00694,6.801827,22.17932,0.104394,0.144814,0.057382,0.871843,8.815765,2.279693,0.124382,6.648532,
3,42.66393,1.574618,3.111806,6.904785,22.93595,0.106449,0.123563,0.041108,0.754255,9.27389,2.30956,0.124932,6.988526,
4.5,42.83556,1.493177,3.269751,6.850371,22.9549,0.117138,0.144428,0.03517,0.750862,9.295297,2.29895,0.078662,7.140421,
6,42.76094,1.468095,3.424872,6.767679,22.843,0.119598,0.158043,0.036052,0.745203,9.396163,2.278927,0.141297,7.230285,
7.5,42.70771,1.453568,3.451221,6.734686,22.80643,0.124393,0.137838,0.0505,0.740913,9.34969,2.248264,0.103475,7.354108,
9,42.7888,1.485444,3.472435,6.764154,22.83241,0.121915,0.14905,0.042537,0.726746,9.372576,2.271615,0.133906,7.278849,
10.5,42.47914,1.40638,3.465394,6.733544,22.69582,0.097658,0.136353,0.028042,0.747585,9.358748,2.22997,0.14511,7.235816,
12,42.6778,1.43835,3.43275,6.74114,22.74369,0.135188,0.154644,0.041593,0.72538,9.416558,2.266855,0.163547,7.207944,
13.5,42.75201,1.511733,3.282877,6.800881,22.93773,0.099122,0.151353,0.039837,0.786056,9.361489,2.318469,0.135539,7.040878,
15,42.7314,1.561459,3.131687,6.94865,23.06538,0.088071,0.111139,0.034797,0.815341,9.195454,2.276898,0.11936,6.907754,
16.5,42.72506,1.615393,3.064349,7.092157,23.06658,0.142867,0.137869,0.074939,0.904454,8.849871,2.270701,0.094178,6.594866,
18,42.82498,1.611251,5.421816,6.802156,22.9401,0.142385,0.109354,0.062814,0.83074,6.820594,1.80701,0.088812,7.045503,
19.5,44.71782,0.77464,18.11209,3.585512,22.05864,0.060622,0.060008,-0.002546,0.321907,1.963732,0.517534,0.165911,9.598372,
21,43.2388,-0.007152,27.47698,0.357278,19.33974,-0.029182,0.001971,-0.020909,-0.001033,0.307121,0.032518,0.094954,9.070576,
