Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,42.95586,1.893074,9.350756,6.568253,22.22273,0.043049,0.352659,0.124951,4.698071,1.282433,0.124589,7.137846,
1.5,43.36919,2.206528,3.510875,8.153495,23.47655,0.115486,0.487806,0.151153,7.866622,2.017335,0.045943,5.44322,
3,43.65567,2.17614,2.433214,8.281711,23.59831,0.115241,0.556661,0.1233,9.125221,2.375136,0.09889,5.347939,
4.5,43.73563,2.060241,2.572656,8.114656,23.55925,0.115622,0.570353,0.162384,9.454868,2.424507,0.128161,5.576711,
6,43.81844,2.032986,2.762941,7.953308,23.59808,0.122766,0.586006,0.124092,9.488188,2.383274,0.084589,5.889645,
7.5,43.46215,1.936517,2.886024,7.860151,23.32941,0.13401,0.565336,0.116653,9.477882,2.365603,0.088271,5.93484,
9,43.66455,1.916082,2.980227,7.811859,23.44793,0.142417,0.547965,0.122521,9.47431,2.336757,0.107715,5.974207,
10.5,43.36823,1.888371,2.983635,7.732335,23.28073,0.128945,0.540824,0.125208,9.421685,2.349074,0.123515,6.040778,
12,43.48204,1.859715,3.04817,7.756122,23.33673,0.097024,0.564703,0.114988,9.477024,2.374664,0.09726,6.008352,
13.5,43.42247,1.871549,3.046562,7.701931,23.31567,0.116693,0.574206,0.139152,9.464791,2.3243,0.072059,5.923866,
15,43.16708,1.906604,2.951692,7.685273,23.13653,0.103671,0.562873,0.11174,9.545628,2.352878,0.073012,5.98632,
16.5,43.25259,1.931483,2.981943,7.781447,23.18011,0.072734,0.554809,0.112433,9.431962,2.362084,0.078375,5.981986,
18,43.05456,1.884889,2.84153,7.744454,23.09227,0.113463,0.56881,0.13102,9.373406,2.392672,0.078131,5.935629,
19.5,43.10504,1.994488,2.78207,7.82255,23.19694,0.107933,0.572929,0.118356,9.365929,2.31207,0.084803,5.809669,
21,43.2513,2.023539,2.595912,7.99327,23.33299,0.101956,0.564501,0.145248,9.339129,2.348058,0.087633,5.610779,
22.5,43.35256,2.108623,2.494824,8.23081,23.40746,0.109949,0.55974,0.139617,9.125139,2.352028,0.099648,5.317008,
24,43.20375,2.208673,3.008822,8.245193,23.30947,0.118843,0.524196,0.164432,8.252428,2.164493,0.091234,5.340619,
25.5,42.73759,2.005896,7.493437,7.188794,22.32376,0.082509,0.375622,0.124359,5.426568,1.437761,0.119838,6.58634,
27,42.92393,0.381663,24.83807,1.458568,19.23661,0.02704,0.042156,0.021742,0.673499,0.186624,0.087827,9.247583,
28.5,42.74468,-0.011276,28.5386,0.304426,18.64618,0.009638,-0.006376,-0.021108,0.203208,0.051605,0.127628,7.662286,
