Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,42.74296,0.008937,27.27286,0.447278,18.67597,-0.013159,0.018207,0.004887,0.020119,0.351937,0.038356,0.135004,9.782541,
1.5,41.57523,0.868582,16.37678,3.933919,19.68781,0.041289,0.057729,-0.003848,0.195552,2.600682,0.51384,0.142989,10.16549,
3,41.56683,1.654754,5.610856,7.091746,21.76364,0.133883,0.110036,0.034868,0.5045,6.864444,1.413465,0.107056,6.753757,
4.5,43.52615,1.823925,2.641859,8.234633,23.63857,0.166254,0.135315,0.02228,0.684396,8.894427,1.751889,0.113446,5.338441,
6,45.07022,1.801354,1.772028,8.717093,24.82842,0.145966,0.15197,0.052224,0.673612,9.79844,1.920662,0.089609,5.123354,
7.5,45.97483,1.809957,1.713066,8.84435,25.35548,0.173734,0.140718,0.035599,0.676894,10.15431,2.00137,0.07195,5.076517,
9,46.46129,1.855485,1.715178,8.943062,25.68514,0.1454,0.130028,0.030185,0.662106,10.29332,1.970667,0.12428,5.147087,
10.5,46.82331,1.919232,1.801613,9.052741,25.74091,0.206562,0.138066,0.036527,0.664709,10.25252,1.99141,0.075438,5.174748,
12,46.91578,1.929456,1.813381,8.973301,25.87369,0.219207,0.115539,0.033875,0.618737,10.30606,1.996383,0.119216,5.28371,
13.5,46.94384,1.944645,1.850176,8.985355,25.89575,0.185902,0.121787,0.059832,0.657374,10.3009,2.011621,0.109191,5.189478,
15,46.79065,1.933141,1.878458,8.998219,25.79389,0.17404,0.107506,0.070838,0.662661,10.39299,1.954953,0.090667,5.194666,
16.5,46.89948,1.912743,1.876585,8.964947,25.82627,0.163778,0.127895,0.047749,0.664672,10.36216,2.007666,0.085054,5.344163,
18,46.73959,1.907211,1.834073,8.951042,25.75928,0.170643,0.145151,0.065504,0.641559,10.29361,1.968112,0.104297,5.171794,
19.5,46.8264,1.906158,1.830893,9.016202,25.77316,0.197692,0.157984,0.053641,0.695302,10.24877,1.994075,0.099729,5.120334,
21,46.67094,1.938608,1.819862,9.024883,25.78962,0.161632,0.114668,0.058458,0.660852,10.12936,2.001235,0.057708,5.06332,
22.5,46.24909,1.955097,1.86464,8.946461,25.51953,0.16244,0.115397,0.063911,0.692638,9.962942,1.967348,0.088022,5.087968,
24,45.59668,1.913831,3.123096,8.602407,24.89418,0.173752,0.140132,0.043807,0.66201,8.771795,1.696865,0.065538,5.643656,
25.5,44.42916,1.52385,8.563295,6.870623,23.14894,0.107488,0.090423,0.044756,0.478395,5.866759,1.174981,0.110434,7.57903,
27,43.79093,0.191784,26.18534,0.951539,19.50869,0.024895,0.011611,-0.0031,0.019285,0.590082,0.078927,0.159499,10.37192,
