Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,42.81495,0.049987,25.95631,0.515805,18.96696,0.002013,-0.003741,0.346586,0.046262,0.153206,11.65486,
1,42.82125,0.464237,18.10414,3.083977,20.71655,0.044067,0.106283,1.771867,0.328585,0.184618,11.39748,
2,43.33527,1.026952,11.27913,5.415968,22.40291,0.110572,0.223816,3.908743,0.756588,0.139816,9.877264,
3,43.56107,0.704745,7.754391,6.555772,23.45837,0.096069,0.286031,5.342187,1.050329,0.1398,8.796608,
4,43.64363,0.729693,5.821291,7.140748,23.91619,0.119991,0.323577,6.222673,1.237471,0.096696,8.182564,
5,43.75674,1.126712,4.723498,7.43084,24.2487,0.161043,0.346237,6.426024,1.296489,0.139091,7.664486,
6,42.26685,1.128666,4.277599,7.170077,23.33444,0.238432,0.328824,6.161519,1.284847,0.109417,7.976949,
7,41.62749,1.065692,5.591937,6.611141,22.67345,0.248475,0.310067,5.394783,1.066236,0.128043,8.621686,
8,42.57554,1.330026,8.880791,5.914372,22.42243,0.15539,0.245639,4.321866,0.889768,0.14523,9.655484,
9,43.04438,1.327601,14.28254,4.285651,21.46278,0.062947,0.150318,2.65284,0.548525,0.173931,11.34346,
10,42.69238,0.227537,23.7009,0.963753,19.23767,0.010346,0.024973,0.522601,0.104136,0.167944,13.31184,
