Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,44.49111,1.855587,3.689305,8.284633,23.76989,0.073196,0.873313,0.299608,10.06878,1.706523,0.091174,5.520554,
1.5,43.59851,1.888717,1.65771,8.374916,23.6937,0.082091,0.861571,0.292126,10.99493,1.908811,0.086221,5.282533,
3,43.27571,1.873579,1.543442,8.213147,23.49265,0.075872,0.867981,0.286595,11.06693,1.869881,0.102703,5.50993,
4.5,43.42033,1.846463,1.641379,8.104803,23.52435,0.10055,0.883795,0.275551,11.13415,1.925863,0.070186,5.690698,
6,43.03915,1.764583,1.723318,7.930026,23.41032,0.092789,0.882148,0.267455,11.17742,1.899129,0.081172,5.649095,
7.5,42.94036,1.733227,1.721974,7.953513,23.24141,0.07894,0.859929,0.257857,11.17988,1.853848,0.096962,5.801628,
9,43.12297,1.758765,1.778723,7.922836,23.30213,0.082581,0.89434,0.29624,11.23974,1.911882,0.063017,5.905257,
10.5,43.27705,1.733684,1.842234,7.950886,23.38387,0.069061,0.875934,0.245874,11.23762,1.949247,0.092391,5.977581,
12,43.28318,1.712279,1.835594,7.923694,23.39141,0.076902,0.851458,0.25831,11.29657,1.929149,0.107757,5.913676,
13.5,43.68543,1.753408,1.920377,7.975491,23.58849,0.069005,0.862615,0.262039,11.28546,1.911802,0.166479,6.00894,
15,43.96593,1.766274,1.955199,8.092376,23.7156,0.077882,0.879375,0.258666,11.3443,1.903228,0.101572,6.064987,
16.5,43.0223,1.650772,1.827673,7.85097,23.23967,0.082969,0.867971,0.24746,11.20432,1.886367,0.066399,5.985774,
18,42.894,1.716238,1.811444,7.862672,23.21607,0.063184,0.878373,0.255132,11.26942,1.893649,0.11623,5.97262,
19.5,43.08768,1.692192,1.867035,7.899304,23.24295,0.090611,0.871972,0.237362,11.24013,1.900894,0.086991,5.980799,
21,43.19384,1.631004,1.835163,7.913649,23.29431,0.094036,0.82214,0.248655,11.25584,1.943453,0.058983,6.087233,
22.5,43.17675,1.729839,1.802886,7.920383,23.37156,0.068426,0.841143,0.271865,11.23258,1.895557,0.111912,5.943449,
24,43.22972,1.715334,1.78579,7.924821,23.42804,0.087233,0.895215,0.253442,11.17937,1.888702,0.108437,5.892817,
25.5,43.28417,1.797329,1.682626,8.077399,23.44956,0.078229,0.864623,0.239625,11.19137,1.876653,0.090417,5.834955,
27,43.16338,1.805336,1.650715,8.078846,23.4447,0.06818,0.883423,0.252701,11.07988,1.941031,0.102999,5.690716,
28.5,42.76718,1.892601,1.624341,8.048308,23.13176,0.06446,0.894548,0.251386,10.97592,1.941751,0.138519,5.525756,
30,40.23393,1.723558,4.196933,6.801521,21.10591,0.057757,0.787175,0.247505,9.373286,1.677541,0.041732,6.022947,
31.5,43.22859,0.195574,24.98565,1.269544,19.18429,0.004752,0.094287,0.027216,1.28775,0.191965,0.155068,10.36893,
33,43.06398,-0.034014,28.05174,0.307113,18.76139,0.016416,0.000611,0.001061,0.323694,0.003473,0.094432,9.340865,
